Sequence,Date,Run,Modality,Matched_Poses,ATE_Trans_RMSE,ATE_Trans_Mean,ATE_Trans_Median,ATE_Trans_Min,ATE_Trans_Max,RPE_Trans_RMSE,RPE_Trans_Mean,RPE_Trans_Median,RPE_Trans_Min,RPE_Trans_Max,RPE_Rot_RMSE,RPE_Rot_Mean,RPE_Rot_Median,RPE_Rot_Min,RPE_Rot_Max
1)ORC-sun-2014-05-14-13-46-12,2026-04-19,1,mono,216,6.191955,5.148743,5.030381,0.329581,31.096299,1.651699,0.348573,0.157984,0.02734,23.770562,1.190518,0.612289,0.293591,0.016561,8.937034
1)ORC-sun-2014-05-14-13-46-12,2026-04-19,2,mono,222,6.097564,5.058872,4.844371,0.27953,31.365367,1.697543,0.337832,0.134498,0.022205,24.832864,1.21578,0.594585,0.252878,0.042426,10.236245
1)ORC-sun-2014-05-14-13-46-12,2026-04-19,3,mono,214,6.162755,5.128454,4.856075,0.30977,30.962782,1.713656,0.349062,0.213195,0.023736,24.624562,1.181622,0.614216,0.264271,0.037154,9.612922
1)ORC-sun-2014-05-14-13-46-12,2026-04-19,4,mono,401,10.495764,8.860182,7.99708,0.222126,33.75654,1.274071,0.250913,0.153115,0.018465,24.9918,0.967379,0.508666,0.303288,0.028692,10.691942
1)ORC-sun-2014-05-14-13-46-12,2026-04-19,5,mono,407,10.63673,8.936791,7.801362,0.199806,33.530646,1.249971,0.246777,0.141646,0.010579,24.672203,0.940233,0.501878,0.282228,0.036098,9.589014
1)ORC-sun-2014-05-14-13-46-12,2026-04-20,1,mono,384,11.245678,9.506344,8.524691,0.200689,33.940943,1.052395,0.271828,0.154895,0.023553,18.843865,0.945383,0.535097,0.316288,0.039194,9.176241
1)ORC-sun-2014-05-14-13-46-12,2026-04-20,2,mono,208,5.81248,4.993809,4.754395,0.148023,13.5221,0.309079,0.242701,0.199979,0.021075,1.195996,1.010358,0.584894,0.288054,0.028622,5.304384
1)ORC-sun-2014-05-14-13-46-12,2026-04-20,3,mono,206,6.008189,5.090121,4.89171,0.27273,22.40608,1.061997,0.321695,0.217066,0.025467,14.334227,1.098848,0.608818,0.268929,0.025465,5.113665
1)ORC-sun-2014-05-14-13-46-12,2026-04-20,4,mono,211,5.785944,4.997457,4.993822,0.121756,13.216847,0.304228,0.235743,0.208129,0.020931,1.613951,1.053535,0.574715,0.260531,0.033569,6.067988
1)ORC-sun-2014-05-14-13-46-12,2026-04-20,5,mono,215,6.164175,5.114745,4.910329,0.324231,31.701336,1.732829,0.351306,0.144248,0.023808,24.95599,1.235362,0.617711,0.271293,0.030661,10.763997
