frame_id,x,y,yaw_rad
1,-105.0000,4.5000,-1.570796
2,-105.0000,2.5286,-1.570796
3,-105.0000,0.5571,-1.570796
4,-105.0000,-1.4143,-1.570796
5,-105.0000,-3.3857,-1.570796
6,-105.0000,-5.3571,-1.570796
7,-105.0000,-7.3286,-1.570796
8,-105.0000,-9.3000,-1.570796
9,-105.0000,-11.2714,-1.570796
10,-105.0000,-13.2429,-1.570796
11,-105.0000,-15.2143,-1.570796
12,-105.0000,-17.1857,-1.570796
13,-105.0000,-19.1571,-1.570796
14,-105.0000,-21.1286,-1.570796
15,-105.0000,-23.1000,-1.570796
16,-105.0000,-25.0714,-1.570796
17,-105.0000,-27.0429,-1.570796
18,-105.0000,-29.0143,-1.570796
19,-105.0000,-30.9857,-1.570796
20,-105.0000,-32.9571,-1.570796
21,-105.0000,-34.9286,-1.570796
22,-105.0000,-36.9000,-1.570796
23,-105.0000,-38.8714,-1.570796
24,-105.0000,-40.8429,-1.570796
25,-105.0000,-42.8143,-1.570796
26,-105.0000,-44.7857,-1.570796
27,-105.0000,-46.7571,-1.570796
28,-105.0000,-48.7286,-1.570796
29,-105.0000,-50.7000,-1.570796
30,-105.0000,-52.6714,-1.570796
31,-105.0000,-54.6429,-1.570796
32,-105.0000,-56.6143,-1.570796
33,-105.0000,-58.5857,-1.570796
34,-105.0000,-60.5571,-1.570796
35,-105.0000,-62.5286,-1.570796
36,-105.0000,-64.5000,-1.546253
37,-104.9512,-66.4872,-1.497165
38,-104.8050,-68.4697,-1.448078
39,-104.5616,-70.4426,-1.398990
40,-104.2218,-72.4012,-1.349903
41,-103.7863,-74.3407,-1.300816
42,-103.2561,-76.2565,-1.251728
43,-102.6325,-78.1440,-1.202641
44,-101.9171,-79.9987,-1.153554
45,-101.1116,-81.8160,-1.104466
46,-100.2178,-83.5916,-1.055379
47,-99.2380,-85.3212,-1.006291
48,-98.1745,-87.0006,-0.957204
49,-97.0299,-88.6258,-0.908117
50,-95.8069,-90.1929,-0.859029
51,-94.5085,-91.6981,-0.809942
52,-93.1378,-93.1378,-0.760854
53,-91.6981,-94.5085,-0.711767
54,-90.1929,-95.8069,-0.662680
55,-88.6258,-97.0299,-0.613592
56,-87.0006,-98.1745,-0.564505
57,-85.3212,-99.2380,-0.515418
58,-83.5916,-100.2178,-0.466330
59,-81.8160,-101.1116,-0.417243
60,-79.9987,-101.9171,-0.368155
61,-78.1440,-102.6325,-0.319068
62,-76.2565,-103.2561,-0.269981
63,-74.3407,-103.7863,-0.220893
64,-72.4012,-104.2218,-0.171806
65,-70.4426,-104.5616,-0.122718
66,-68.4697,-104.8050,-0.073631
67,-66.4872,-104.9512,-0.024544
68,-64.5000,-105.0000,0.000000
69,-62.5286,-105.0000,0.000000
70,-60.5571,-105.0000,0.000000
71,-58.5857,-105.0000,0.000000
72,-56.6143,-105.0000,0.000000
73,-54.6429,-105.0000,0.000000
74,-52.6714,-105.0000,0.000000
75,-50.7000,-105.0000,0.000000
76,-48.7286,-105.0000,0.000000
77,-46.7571,-105.0000,0.000000
78,-44.7857,-105.0000,0.000000
79,-42.8143,-105.0000,0.000000
80,-40.8429,-105.0000,0.000000
81,-38.8714,-105.0000,0.000000
