frame_id,x,y,yaw_rad
1,499.0500,-588.4828,-2.245104
2,498.1430,-589.6174,-2.245104
3,497.2361,-590.7521,-2.245104
4,496.3292,-591.8867,-2.245104
5,495.4223,-593.0214,-2.245104
6,494.5154,-594.1560,-2.245104
7,493.6085,-595.2907,-2.312361
8,492.7016,-596.4253,-2.470564
9,491.7947,-597.5600,-2.631028
10,490.8878,-598.6946,-2.785773
11,489.5398,-599.1956,-2.785773
12,488.1918,-599.6965,-2.785773
13,486.8438,-600.1975,-2.785773
14,485.4958,-600.6984,-2.785773
15,484.1478,-601.1994,-2.785773
16,482.7999,-601.7004,-2.785773
17,481.4519,-602.2013,-2.785773
18,480.1039,-602.7023,-2.785773
19,478.7559,-603.2033,-2.785773
20,477.4079,-603.7042,-2.770426
21,476.0599,-604.2052,-2.738189
22,474.7119,-604.7061,-2.705935
23,473.3639,-605.2071,-2.673730
24,472.1072,-605.8421,-2.673730
25,470.8504,-606.4772,-2.673730
26,469.5936,-607.1122,-2.673730
27,468.3368,-607.7472,-2.673730
28,467.0800,-608.3822,-2.675408
29,465.8233,-609.0173,-2.678456
30,464.5665,-609.6523,-2.681503
31,463.3097,-610.2873,-2.684551
32,462.0534,-610.9051,-2.684551
33,460.7972,-611.5229,-2.684551
34,459.5409,-612.1407,-2.684551
35,458.2847,-612.7585,-2.684551
36,457.0284,-613.3763,-2.684551
37,455.7721,-613.9941,-2.684551
38,454.5159,-614.6119,-2.684551
39,453.2596,-615.2296,-2.684551
40,452.0034,-615.8474,-2.614261
41,450.7471,-616.4652,-2.487948
42,449.4908,-617.0830,-2.360761
43,448.2346,-617.7008,-2.236720
44,447.3767,-618.7927,-2.236720
45,446.5189,-619.8846,-2.236720
46,445.6610,-620.9765,-2.236720
47,444.8032,-622.0685,-2.236720
48,443.9453,-623.1604,-2.236720
49,443.0875,-624.2523,-2.236720
50,442.2296,-625.3442,-2.313501
51,441.3718,-626.4361,-2.445115
52,440.5139,-627.5280,-2.577650
53,439.6561,-628.6199,-2.706569
54,438.2963,-629.2518,-2.706569
55,436.9364,-629.8838,-2.706569
