ds,vmin,vmax,Rwindow,threshold,match_runtime_sec,rank_score,score_valid,score_corr,score_mae,valid_count,invalid_count,valid_ratio,mae,norm_mae,corr,nan_quality_count,core_frame_start,core_frame_end_exclusive,core_total_count,core_valid_count,core_valid_ratio,core_mae,core_norm_mae,core_corr
50,0.5,1.5,30,0.9,83.6992,0.8286467415020574,0.71728515625,0.9744767108720951,0.7738515789381291,1469,579,0.71728515625,477.6254652826713,0.22614842106187089,0.9744767108720951,50,25,2023,1998,1998,1.0,556.1104220977205,0.26330985894778436,0.6381716473874995
50,0.5,1.5,50,0.9,83.5951,0.8286467415020574,0.71728515625,0.9744767108720951,0.7738515789381291,1469,579,0.71728515625,477.6254652826713,0.22614842106187089,0.9744767108720951,50,25,2023,1998,1998,1.0,556.1104220977205,0.26330985894778436,0.6381716473874995
50,0.5,1.5,10,0.9,84.8268,0.8262517964610874,0.7119140625,0.9743405879149482,0.7743615544673872,1458,590,0.7119140625,476.5483969648781,0.22563844553261275,0.9743405879149482,50,25,2023,1998,1998,1.0,556.1104220977205,0.26330985894778436,0.6381716473874995
50,0.5,1.5,10,1.0,84.8268,0.8047858519878323,0.9755859375,0.6381716473874995,0.7366901410522156,1998,50,0.9755859375,556.1104220977205,0.26330985894778436,0.6381716473874995,50,25,2023,1998,1998,1.0,556.1104220977205,0.26330985894778436,0.6381716473874995
50,0.5,1.5,30,1.0,83.6992,0.8047858519878323,0.9755859375,0.6381716473874995,0.7366901410522156,1998,50,0.9755859375,556.1104220977205,0.26330985894778436,0.6381716473874995,50,25,2023,1998,1998,1.0,556.1104220977205,0.26330985894778436,0.6381716473874995
50,0.5,1.5,50,1.0,83.5951,0.8047858519878323,0.9755859375,0.6381716473874995,0.7366901410522156,1998,50,0.9755859375,556.1104220977205,0.26330985894778436,0.6381716473874995,50,25,2023,1998,1998,1.0,556.1104220977205,0.26330985894778436,0.6381716473874995
30,0.5,1.5,10,1.0,55.0246,0.7909822892440056,0.9853515625,0.5944353417309345,0.7319996628442125,2018,30,0.9853515625,566.0167120730232,0.2680003371557875,0.5944353417309345,30,15,2033,2018,2018,1.0,566.0167120730232,0.2680003371557875,0.5944353417309345
30,0.5,1.5,30,1.0,54.9335,0.7909822892440056,0.9853515625,0.5944353417309345,0.7319996628442125,2018,30,0.9853515625,566.0167120730232,0.2680003371557875,0.5944353417309345,30,15,2033,2018,2018,1.0,566.0167120730232,0.2680003371557875,0.5944353417309345
30,0.5,1.5,50,1.0,54.8061,0.7909822892440056,0.9853515625,0.5944353417309345,0.7319996628442125,2018,30,0.9853515625,566.0167120730232,0.2680003371557875,0.5944353417309345,30,15,2033,2018,2018,1.0,566.0167120730232,0.2680003371557875,0.5944353417309345
50,0.3,2.0,10,1.0,612.9676,0.7876122702083949,0.9755859375,0.5944882769772514,0.7386885836166288,1998,50,0.9755859375,551.8897114016801,0.26131141638337124,0.5944882769772514,50,25,2023,1998,1998,1.0,551.8897114016801,0.26131141638337124,0.5944882769772514
50,0.3,2.0,30,1.0,140.7971,0.7876122702083949,0.9755859375,0.5944882769772514,0.7386885836166288,1998,50,0.9755859375,551.8897114016801,0.26131141638337124,0.5944882769772514,50,25,2023,1998,1998,1.0,551.8897114016801,0.26131141638337124,0.5944882769772514
50,0.3,2.0,50,1.0,140.7096,0.7876122702083949,0.9755859375,0.5944882769772514,0.7386885836166288,1998,50,0.9755859375,551.8897114016801,0.26131141638337124,0.5944882769772514,50,25,2023,1998,1998,1.0,551.8897114016801,0.26131141638337124,0.5944882769772514
20,0.5,1.5,10,1.0,45.6542,0.7753540397290449,0.990234375,0.5502376879438593,0.731023305343341,2028,20,0.990234375,568.0787791148638,0.26897669465665897,0.5502376879438593,20,10,2038,2028,2028,1.0,568.0787791148638,0.26897669465665897,0.5502376879438593
20,0.5,1.5,30,1.0,45.3835,0.7753540397290449,0.990234375,0.5502376879438593,0.731023305343341,2028,20,0.990234375,568.0787791148638,0.26897669465665897,0.5502376879438593,20,10,2038,2028,2028,1.0,568.0787791148638,0.26897669465665897,0.5502376879438593
20,0.5,1.5,50,1.0,45.7471,0.7753540397290449,0.990234375,0.5502376879438593,0.731023305343341,2028,20,0.990234375,568.0787791148638,0.26897669465665897,0.5502376879438593,20,10,2038,2028,2028,1.0,568.0787791148638,0.26897669465665897,0.5502376879438593
30,0.3,2.0,10,1.0,67.2181,0.7705153432463936,0.9853515625,0.5437536804801705,0.7307044528621689,2018,30,0.9853515625,568.7521955550992,0.26929554713783105,0.5437536804801705,30,15,2033,2018,2018,1.0,568.7521955550992,0.26929554713783105,0.5437536804801705
30,0.3,2.0,30,1.0,67.499,0.7705153432463936,0.9853515625,0.5437536804801705,0.7307044528621689,2018,30,0.9853515625,568.7521955550992,0.26929554713783105,0.5437536804801705,30,15,2033,2018,2018,1.0,568.7521955550992,0.26929554713783105,0.5437536804801705
30,0.3,2.0,50,1.0,67.166,0.7705153432463936,0.9853515625,0.5437536804801705,0.7307044528621689,2018,30,0.9853515625,568.7521955550992,0.26929554713783105,0.5437536804801705,30,15,2033,2018,2018,1.0,568.7521955550992,0.26929554713783105,0.5437536804801705
50,0.5,1.5,10,0.8,84.8268,0.7547780681757263,0.52978515625,0.9981645423103874,0.7807262062604755,1085,963,0.52978515625,463.10625237787565,0.21927379373952446,0.9981645423103874,50,25,2023,1998,1998,1.0,556.1104220977205,0.26330985894778436,0.6381716473874995
50,0.5,1.5,30,0.8,83.6992,0.7547780681757263,0.52978515625,0.9981645423103874,0.7807262062604755,1085,963,0.52978515625,463.10625237787565,0.21927379373952446,0.9981645423103874,50,25,2023,1998,1998,1.0,556.1104220977205,0.26330985894778436,0.6381716473874995
50,0.5,1.5,50,0.8,83.5951,0.7547780681757263,0.52978515625,0.9981645423103874,0.7807262062604755,1085,963,0.52978515625,463.10625237787565,0.21927379373952446,0.9981645423103874,50,25,2023,1998,1998,1.0,556.1104220977205,0.26330985894778436,0.6381716473874995
20,0.3,2.0,10,1.0,52.0004,0.7393474793078187,0.990234375,0.4605457568354396,0.730158052157619,2028,20,0.990234375,569.9061938431089,0.2698419478423811,0.4605457568354396,20,10,2038,2028,2028,1.0,569.9061938431089,0.2698419478423811,0.4605457568354396
20,0.3,2.0,30,1.0,51.7359,0.7393474793078187,0.990234375,0.4605457568354396,0.730158052157619,2028,20,0.990234375,569.9061938431089,0.2698419478423811,0.4605457568354396,20,10,2038,2028,2028,1.0,569.9061938431089,0.2698419478423811,0.4605457568354396
20,0.3,2.0,50,1.0,52.342,0.7393474793078187,0.990234375,0.4605457568354396,0.730158052157619,2028,20,0.990234375,569.9061938431089,0.2698419478423811,0.4605457568354396,20,10,2038,2028,2028,1.0,569.9061938431089,0.2698419478423811,0.4605457568354396
30,0.5,1.5,10,0.8,55.0246,0.7274126982431048,0.521484375,0.9372809041727291,0.7855491188267547,1068,980,0.521484375,452.920261037894,0.2144508811732453,0.9372809041727291,30,15,2033,2018,2018,1.0,566.0167120730232,0.2680003371557875,0.5944353417309345
30,0.5,1.5,30,0.8,54.9335,0.7274126982431048,0.521484375,0.9372809041727291,0.7855491188267547,1068,980,0.521484375,452.920261037894,0.2144508811732453,0.9372809041727291,30,15,2033,2018,2018,1.0,566.0167120730232,0.2680003371557875,0.5944353417309345
30,0.5,1.5,50,0.8,54.8061,0.7274126982431048,0.521484375,0.9372809041727291,0.7855491188267547,1068,980,0.521484375,452.920261037894,0.2144508811732453,0.9372809041727291,30,15,2033,2018,2018,1.0,566.0167120730232,0.2680003371557875,0.5944353417309345
50,0.3,2.0,30,0.8,140.7971,0.7262282574171752,0.58642578125,0.8590155861408688,0.791536142655518,1201,847,0.58642578125,440.27566671154597,0.208463857344482,0.8590155861408688,50,25,2023,1998,1998,1.0,551.8897114016801,0.26131141638337124,0.5944882769772514
50,0.3,2.0,50,0.8,140.7096,0.7262282574171752,0.58642578125,0.8590155861408688,0.791536142655518,1201,847,0.58642578125,440.27566671154597,0.208463857344482,0.8590155861408688,50,25,2023,1998,1998,1.0,551.8897114016801,0.26131141638337124,0.5944882769772514
50,0.3,2.0,10,0.8,612.9676,0.7255756743876156,0.58544921875,0.8583740632285114,0.791826004391406,1199,849,0.58544921875,439.6634787253504,0.20817399560859393,0.8583740632285114,50,25,2023,1998,1998,1.0,551.8897114016801,0.26131141638337124,0.5944882769772514
30,0.5,1.5,30,0.9,54.9335,0.7242505647065787,0.69482421875,0.7411463699338576,0.7674741219702377,1423,625,0.69482421875,491.09465439885804,0.23252587802976232,0.7411463699338576,30,15,2033,2018,2018,1.0,566.0167120730232,0.2680003371557875,0.5944353417309345
30,0.5,1.5,50,0.9,54.8061,0.7242505647065787,0.69482421875,0.7411463699338576,0.7674741219702377,1423,625,0.69482421875,491.09465439885804,0.23252587802976232,0.7411463699338576,30,15,2033,2018,2018,1.0,566.0167120730232,0.2680003371557875,0.5944353417309345
30,0.5,1.5,10,0.9,55.0246,0.7238623239105682,0.6943359375,0.740779322771358,0.767329486180166,1422,626,0.6943359375,491.4001251874892,0.23267051381983392,0.740779322771358,30,15,2033,2018,2018,1.0,566.0167120730232,0.2680003371557875,0.5944353417309345
