ds,vmin,vmax,Rwindow,threshold,match_runtime_sec,rank_score,score_valid,score_corr,score_mae,valid_count,invalid_count,valid_ratio,mae,norm_mae,corr,nan_quality_count
10,0.8,1.2,10,1.0,6.0687,0.4985759679751953,0.8626760563380281,0.02838403251337636,0.6601208641182139,245,39,0.8626760563380281,717.8247349823322,0.3398791358817861,0.02838403251337636,39
10,0.8,1.2,30,1.0,6.0108,0.4985759679751953,0.8626760563380281,0.02838403251337636,0.6601208641182139,245,39,0.8626760563380281,717.8247349823322,0.3398791358817861,0.02838403251337636,39
10,0.5,1.5,10,1.0,6.1586,0.4864600798742942,0.8626760563380281,0.0,0.6550390301478767,245,39,0.8626760563380281,728.5575683276844,0.3449609698521233,-0.01698904822152126,39
10,0.5,1.5,30,1.0,6.1885,0.4864600798742942,0.8626760563380281,0.0,0.6550390301478767,245,39,0.8626760563380281,728.5575683276844,0.3449609698521233,-0.01698904822152126,39
20,0.8,1.2,10,1.0,6.2017,0.48282062539195186,0.8309859154929577,0.023395378059148344,0.6634587479764102,236,48,0.8309859154929577,710.7751242738216,0.33654125202358975,0.023395378059148344,48
20,0.8,1.2,30,1.0,6.1905,0.48282062539195186,0.8309859154929577,0.023395378059148344,0.6634587479764102,236,48,0.8309859154929577,710.7751242738216,0.33654125202358975,0.023395378059148344,48
20,0.5,1.5,10,1.0,6.877,0.4734843924854557,0.8309859154929577,0.001438251802118989,0.6597695319518476,236,48,0.8309859154929577,718.5667485176979,0.3402304680481524,0.001438251802118989,48
20,0.5,1.5,30,1.0,6.8206,0.4734843924854557,0.8309859154929577,0.001438251802118989,0.6597695319518476,236,48,0.8309859154929577,718.5667485176979,0.3402304680481524,0.001438251802118989,48
20,0.8,1.2,30,0.9,6.1905,0.135510282018161,0.0035211267605633804,0.0,0.8928384998393832,1,283,0.0035211267605633804,226.3250883392227,0.1071615001606168,0.0,48
10,0.8,1.2,30,0.9,6.0108,0.12789035804833512,0.045774647887323945,0.01520264923148725,0.6747380453762963,13,271,0.045774647887323945,686.9532481652623,0.3252619546237037,0.01520264923148725,39
10,0.5,1.5,30,0.9,6.1885,0.12103710870466938,0.04929577464788732,0.0,0.6590267340874673,14,270,0.04929577464788732,720.1355376072692,0.34097326591253274,-0.1300179348532787,39
10,0.5,1.5,10,0.9,6.1586,0.10596125978216445,0.02112676056338028,0.0,0.6430281168576222,6,278,0.02112676056338028,753.924617196702,0.3569718831423778,-0.18548111946320076,39
10,0.8,1.2,10,0.9,6.0687,0.10121143712984622,0.02112676056338028,0.0,0.6113626325088339,6,278,0.02112676056338028,820.8021201413427,0.38863736749116606,-0.10876847840071747,39
10,0.8,1.2,10,0.8,6.0687,0.0,0.0,0.0,0.0,0,284,0.0,inf,inf,0.0,39
10,0.5,1.5,10,0.8,6.1586,0.0,0.0,0.0,0.0,0,284,0.0,inf,inf,0.0,39
10,0.8,1.2,30,0.8,6.0108,0.0,0.0,0.0,0.0,0,284,0.0,inf,inf,0.0,39
10,0.5,1.5,30,0.8,6.1885,0.0,0.0,0.0,0.0,0,284,0.0,inf,inf,0.0,39
20,0.8,1.2,10,0.8,6.2017,0.0,0.0,0.0,0.0,0,284,0.0,inf,inf,0.0,48
20,0.8,1.2,10,0.9,6.2017,0.0,0.0,0.0,0.0,0,284,0.0,inf,inf,0.0,48
20,0.5,1.5,10,0.8,6.877,0.0,0.0,0.0,0.0,0,284,0.0,inf,inf,0.0,48
20,0.5,1.5,10,0.9,6.877,0.0,0.0,0.0,0.0,0,284,0.0,inf,inf,0.0,48
20,0.8,1.2,30,0.8,6.1905,0.0,0.0,0.0,0.0,0,284,0.0,inf,inf,0.0,48
20,0.5,1.5,30,0.8,6.8206,0.0,0.0,0.0,0.0,0,284,0.0,inf,inf,0.0,48
20,0.5,1.5,30,0.9,6.8206,0.0,0.0,0.0,0.0,0,284,0.0,inf,inf,0.0,48
