ds,vmin,vmax,Rwindow,threshold,match_runtime_sec,rank_score,score_valid,score_corr,score_mae,valid_count,invalid_count,valid_ratio,mae,norm_mae,corr,nan_quality_count,core_frame_start,core_frame_end_exclusive,core_total_count,core_valid_count,core_valid_ratio,core_mae,core_norm_mae,core_corr
50,0.8,1.2,10,1.0,1.599,0.8130476649831051,0.8626373626373627,0.7319026164097168,0.8806653682160341,314,50,0.8626373626373627,43.318471337579616,0.11933463178396589,0.7319026164097168,50,25,339,314,314,1.0,43.318471337579616,0.11933463178396589,0.7319026164097168
50,0.8,1.2,30,1.0,1.6328,0.8130476649831051,0.8626373626373627,0.7319026164097168,0.8806653682160341,314,50,0.8626373626373627,43.318471337579616,0.11933463178396589,0.7319026164097168,50,25,339,314,314,1.0,43.318471337579616,0.11933463178396589,0.7319026164097168
50,0.8,1.2,50,1.0,1.6009,0.8130476649831051,0.8626373626373627,0.7319026164097168,0.8806653682160341,314,50,0.8626373626373627,43.318471337579616,0.11933463178396589,0.7319026164097168,50,25,339,314,314,1.0,43.318471337579616,0.11933463178396589,0.7319026164097168
30,0.8,1.2,10,1.0,1.3067,0.7900789813581763,0.9175824175824175,0.6294769653913384,0.8358407152636875,334,30,0.9175824175824175,59.58982035928144,0.1641592847363125,0.6294769653913384,30,15,349,334,334,1.0,59.58982035928144,0.1641592847363125,0.6294769653913384
30,0.8,1.2,30,1.0,1.3252,0.7900789813581763,0.9175824175824175,0.6294769653913384,0.8358407152636875,334,30,0.9175824175824175,59.58982035928144,0.1641592847363125,0.6294769653913384,30,15,349,334,334,1.0,59.58982035928144,0.1641592847363125,0.6294769653913384
30,0.8,1.2,50,1.0,1.3032,0.7900789813581763,0.9175824175824175,0.6294769653913384,0.8358407152636875,334,30,0.9175824175824175,59.58982035928144,0.1641592847363125,0.6294769653913384,30,15,349,334,334,1.0,59.58982035928144,0.1641592847363125,0.6294769653913384
10,0.8,1.2,10,1.0,1.2112,0.7853878228775995,0.9725274725274725,0.5687388064347427,0.8016995844422654,354,10,0.9725274725274725,71.98305084745763,0.19830041555773453,0.5687388064347427,10,5,359,354,354,1.0,71.98305084745763,0.19830041555773453,0.5687388064347427
10,0.8,1.2,30,1.0,1.1816,0.7853878228775995,0.9725274725274725,0.5687388064347427,0.8016995844422654,354,10,0.9725274725274725,71.98305084745763,0.19830041555773453,0.5687388064347427,10,5,359,354,354,1.0,71.98305084745763,0.19830041555773453,0.5687388064347427
10,0.8,1.2,50,1.0,1.1761,0.7853878228775995,0.9725274725274725,0.5687388064347427,0.8016995844422654,354,10,0.9725274725274725,71.98305084745763,0.19830041555773453,0.5687388064347427,10,5,359,354,354,1.0,71.98305084745763,0.19830041555773453,0.5687388064347427
30,0.5,1.5,10,1.0,1.6652,0.7782487096797952,0.9175824175824175,0.6039654718736158,0.8250028867884067,334,30,0.9175824175824175,63.52395209580838,0.17499711321159334,0.6039654718736158,30,15,349,334,334,1.0,63.52395209580838,0.17499711321159334,0.6039654718736158
