ds,vmin,vmax,Rwindow,threshold,match_runtime_sec,rank_score,score_valid,score_corr,score_mae,valid_count,invalid_count,valid_ratio,mae,norm_mae,corr,nan_quality_count,core_frame_start,core_frame_end_exclusive,core_total_count,core_valid_count,core_valid_ratio,core_mae,core_norm_mae,core_corr
50,0.8,1.2,10,1.0,16.397,0.9610561002144538,0.9551971326164874,0.9609322352922657,0.9789633094675203,1066,50,0.9551971326164874,23.455909943714822,0.02103669053247966,0.9609322352922657,50,25,1091,1066,1066,1.0,23.455909943714822,0.02103669053247966,0.9609322352922657
50,0.8,1.2,30,1.0,16.3289,0.9610561002144538,0.9551971326164874,0.9609322352922657,0.9789633094675203,1066,50,0.9551971326164874,23.455909943714822,0.02103669053247966,0.9609322352922657,50,25,1091,1066,1066,1.0,23.455909943714822,0.02103669053247966,0.9609322352922657
50,0.8,1.2,50,1.0,16.3162,0.9610561002144538,0.9551971326164874,0.9609322352922657,0.9789633094675203,1066,50,0.9551971326164874,23.455909943714822,0.02103669053247966,0.9609322352922657,50,25,1091,1066,1066,1.0,23.455909943714822,0.02103669053247966,0.9609322352922657
50,0.5,1.5,10,1.0,24.2083,0.9389036751292478,0.9551971326164874,0.9141138392683531,0.9561295316299144,1066,50,0.9551971326164874,48.9155722326454,0.04387046837008556,0.9141138392683531,50,25,1091,1066,1066,1.0,48.9155722326454,0.04387046837008556,0.9141138392683531
50,0.5,1.5,30,1.0,23.9556,0.9389036751292478,0.9551971326164874,0.9141138392683531,0.9561295316299144,1066,50,0.9551971326164874,48.9155722326454,0.04387046837008556,0.9141138392683531,50,25,1091,1066,1066,1.0,48.9155722326454,0.04387046837008556,0.9141138392683531
50,0.5,1.5,50,1.0,23.9595,0.9389036751292478,0.9551971326164874,0.9141138392683531,0.9561295316299144,1066,50,0.9551971326164874,48.9155722326454,0.04387046837008556,0.9141138392683531,50,25,1091,1066,1066,1.0,48.9155722326454,0.04387046837008556,0.9141138392683531
30,0.8,1.2,10,1.0,13.1497,0.9201593286972914,0.9731182795698925,0.8502380324172489,0.9477392661596016,1086,30,0.9731182795698925,58.270718232044196,0.05226073384039838,0.8502380324172489,30,15,1101,1086,1086,1.0,58.270718232044196,0.05226073384039838,0.8502380324172489
30,0.8,1.2,30,1.0,13.0558,0.9201593286972914,0.9731182795698925,0.8502380324172489,0.9477392661596016,1086,30,0.9731182795698925,58.270718232044196,0.05226073384039838,0.8502380324172489,30,15,1101,1086,1086,1.0,58.270718232044196,0.05226073384039838,0.8502380324172489
30,0.8,1.2,50,1.0,12.8263,0.9201593286972914,0.9731182795698925,0.8502380324172489,0.9477392661596016,1086,30,0.9731182795698925,58.270718232044196,0.05226073384039838,0.8502380324172489,30,15,1101,1086,1086,1.0,58.270718232044196,0.05226073384039838,0.8502380324172489
30,0.5,1.5,10,1.0,16.1667,0.9148882246192123,0.9731182795698925,0.8420236669152105,0.9345035469778428,1086,30,0.9731182795698925,73.02854511970534,0.06549645302215726,0.8420236669152105,30,15,1101,1086,1086,1.0,73.02854511970534,0.06549645302215726,0.8420236669152105
