query_array_index,query_frame_id,matched_ref_index,matched_ref_frame_id,quality,valid,gt_x,gt_y,gt_yaw_rad,est_x,est_y,est_yaw_rad,xy_error
0,1,-1,-1,nan,False,-105.000000,4.500000,-1.570796000,,,,
1,2,-1,-1,nan,False,-105.000000,2.528600,-1.570796000,,,,
2,3,-1,-1,nan,False,-105.000000,0.557100,-1.570796000,,,,
3,4,-1,-1,nan,False,-105.000000,-1.414300,-1.570796000,,,,
4,5,-1,-1,nan,False,-105.000000,-3.385700,-1.570796000,,,,
5,6,-1,-1,nan,False,-105.000000,-5.357100,-1.570796000,,,,
6,7,-1,-1,nan,False,-105.000000,-7.328600,-1.570796000,,,,
7,8,-1,-1,nan,False,-105.000000,-9.300000,-1.570796000,,,,
8,9,-1,-1,nan,False,-105.000000,-11.271400,-1.570796000,,,,
9,10,-1,-1,nan,False,-105.000000,-13.242900,-1.570796000,,,,
10,11,-1,-1,nan,False,-105.000000,-15.214300,-1.570796000,,,,
11,12,-1,-1,nan,False,-105.000000,-17.185700,-1.570796000,,,,
12,13,-1,-1,nan,False,-105.000000,-19.157100,-1.570796000,,,,
13,14,-1,-1,nan,False,-105.000000,-21.128600,-1.570796000,,,,
14,15,-1,-1,nan,False,-105.000000,-23.100000,-1.570796000,,,,
15,16,-1,-1,nan,False,-105.000000,-25.071400,-1.570796000,,,,
16,17,-1,-1,nan,False,-105.000000,-27.042900,-1.570796000,,,,
17,18,-1,-1,nan,False,-105.000000,-29.014300,-1.570796000,,,,
18,19,-1,-1,nan,False,-105.000000,-30.985700,-1.570796000,,,,
19,20,-1,-1,nan,False,-105.000000,-32.957100,-1.570796000,,,,
20,21,-1,-1,nan,False,-105.000000,-34.928600,-1.570796000,,,,
21,22,-1,-1,nan,False,-105.000000,-36.900000,-1.570796000,,,,
22,23,-1,-1,nan,False,-105.000000,-38.871400,-1.570796000,,,,
23,24,-1,-1,nan,False,-105.000000,-40.842900,-1.570796000,,,,
24,25,-1,-1,nan,False,-105.000000,-42.814300,-1.570796000,,,,
25,26,25,26,0.800881780,True,-105.000000,-44.785700,-1.570796000,-105.000000,-44.785700,-1.570796000,0.000000
26,27,26,27,0.811079771,True,-105.000000,-46.757100,-1.570796000,-105.000000,-46.757100,-1.570796000,0.000000
27,28,27,28,0.804380629,True,-105.000000,-48.728600,-1.570796000,-105.000000,-48.728600,-1.570796000,0.000000
28,29,28,29,0.814188568,True,-105.000000,-50.700000,-1.570796000,-105.000000,-50.700000,-1.570796000,0.000000
29,30,29,30,0.820834104,True,-105.000000,-52.671400,-1.570796000,-105.000000,-52.671400,-1.570796000,0.000000
30,31,30,31,0.815119797,True,-105.000000,-54.642900,-1.570796000,-105.000000,-54.642900,-1.570796000,0.000000
31,32,31,32,0.818116137,True,-105.000000,-56.614300,-1.570796000,-105.000000,-56.614300,-1.570796000,0.000000
32,33,32,33,0.812993686,True,-105.000000,-58.585700,-1.570796000,-105.000000,-58.585700,-1.570796000,0.000000
33,34,33,34,0.815463648,True,-105.000000,-60.557100,-1.570796000,-105.000000,-60.557100,-1.570796000,0.000000
34,35,34,35,0.840207674,True,-105.000000,-62.528600,-1.570796000,-105.000000,-62.528600,-1.570796000,0.000000
35,36,35,36,0.881674604,True,-105.000000,-64.500000,-1.546253000,-105.000000,-64.500000,-1.546253000,0.000000
36,37,36,37,0.849999976,True,-104.951200,-66.487200,-1.497165000,-104.951200,-66.487200,-1.497165000,0.000000
37,38,37,38,0.826464716,True,-104.805000,-68.469700,-1.448078000,-104.805000,-68.469700,-1.448078000,0.000000
38,39,38,39,0.851027229,True,-104.561600,-70.442600,-1.398990000,-104.561600,-70.442600,-1.398990000,0.000000
39,40,39,40,0.813841801,True,-104.221800,-72.401200,-1.349903000,-104.221800,-72.401200,-1.349903000,0.000000
40,41,40,41,0.816059726,True,-103.786300,-74.340700,-1.300816000,-103.786300,-74.340700,-1.300816000,0.000000
41,42,41,42,0.834249648,True,-103.256100,-76.256500,-1.251728000,-103.256100,-76.256500,-1.251728000,0.000000
42,43,42,43,0.841344489,True,-102.632500,-78.144000,-1.202641000,-102.632500,-78.144000,-1.202641000,0.000000
43,44,43,44,0.842804156,True,-101.917100,-79.998700,-1.153554000,-101.917100,-79.998700,-1.153554000,0.000000
44,45,44,45,0.839748766,True,-101.111600,-81.816000,-1.104466000,-101.111600,-81.816000,-1.104466000,0.000000
45,46,46,47,0.824438362,True,-100.217800,-83.591600,-1.055379000,-99.238000,-85.321200,-1.006291000,1.987844
46,47,46,47,0.804481353,True,-99.238000,-85.321200,-1.006291000,-99.238000,-85.321200,-1.006291000,0.000000
47,48,47,48,0.825550557,True,-98.174500,-87.000600,-0.957204000,-98.174500,-87.000600,-0.957204000,0.000000
48,49,48,49,0.796114427,True,-97.029900,-88.625800,-0.908117000,-97.029900,-88.625800,-0.908117000,0.000000
49,50,49,50,0.843829471,True,-95.806900,-90.192900,-0.859029000,-95.806900,-90.192900,-0.859029000,0.000000
50,51,50,51,0.819777667,True,-94.508500,-91.698100,-0.809942000,-94.508500,-91.698100,-0.809942000,0.000000
51,52,51,52,0.810911240,True,-93.137800,-93.137800,-0.760854000,-93.137800,-93.137800,-0.760854000,0.000000
52,53,52,53,0.845873704,True,-91.698100,-94.508500,-0.711767000,-91.698100,-94.508500,-0.711767000,0.000000
53,54,53,54,0.863989700,True,-90.192900,-95.806900,-0.662680000,-90.192900,-95.806900,-0.662680000,0.000000
54,55,54,55,0.877491979,True,-88.625800,-97.029900,-0.613592000,-88.625800,-97.029900,-0.613592000,0.000000
55,56,55,56,0.867653722,True,-87.000600,-98.174500,-0.564505000,-87.000600,-98.174500,-0.564505000,0.000000
56,57,56,57,0.875973299,True,-85.321200,-99.238000,-0.515418000,-85.321200,-99.238000,-0.515418000,0.000000
57,58,57,58,0.892948362,True,-83.591600,-100.217800,-0.466330000,-83.591600,-100.217800,-0.466330000,0.000000
58,59,60,61,0.876984688,True,-81.816000,-101.111600,-0.417243000,-78.144000,-102.632500,-0.319068000,3.974509
59,60,59,60,0.894354938,True,-79.998700,-101.917100,-0.368155000,-79.998700,-101.917100,-0.368155000,0.000000
60,61,61,62,0.922295310,True,-78.144000,-102.632500,-0.319068000,-76.256500,-103.256100,-0.269981000,1.987846
61,62,61,62,0.929850524,True,-76.256500,-103.256100,-0.269981000,-76.256500,-103.256100,-0.269981000,0.000000
62,63,63,64,0.916618453,True,-74.340700,-103.786300,-0.220893000,-72.401200,-104.221800,-0.171806000,1.987793
63,64,63,64,0.928961945,True,-72.401200,-104.221800,-0.171806000,-72.401200,-104.221800,-0.171806000,0.000000
64,65,65,66,0.954852167,True,-70.442600,-104.561600,-0.122718000,-68.469700,-104.805000,-0.073631000,1.987858
65,66,66,67,0.914138824,True,-68.469700,-104.805000,-0.073631000,-66.487200,-104.951200,-0.024544000,1.987883
66,67,67,68,0.937115531,True,-66.487200,-104.951200,-0.024544000,-64.500000,-105.000000,0.000000000,1.987799
67,68,67,68,0.941329822,True,-64.500000,-105.000000,0.000000000,-64.500000,-105.000000,0.000000000,0.000000
68,69,69,70,0.937626821,True,-62.528600,-105.000000,0.000000000,-60.557100,-105.000000,0.000000000,1.971500
69,70,69,70,0.915605326,True,-60.557100,-105.000000,0.000000000,-60.557100,-105.000000,0.000000000,0.000000
70,71,70,71,0.908434805,True,-58.585700,-105.000000,0.000000000,-58.585700,-105.000000,0.000000000,0.000000
71,72,71,72,0.898851394,True,-56.614300,-105.000000,0.000000000,-56.614300,-105.000000,0.000000000,0.000000
72,73,72,73,0.909310063,True,-54.642900,-105.000000,0.000000000,-54.642900,-105.000000,0.000000000,0.000000
73,74,73,74,0.928816210,True,-52.671400,-105.000000,0.000000000,-52.671400,-105.000000,0.000000000,0.000000
