query_array_index,query_frame_id,matched_ref_index,matched_ref_frame_id,quality,valid,gt_x,gt_y,gt_yaw_rad,est_x,est_y,est_yaw_rad,xy_error
0,1,-1,-1,nan,False,499.050000,-588.482800,-2.245104000,,,,
1,2,-1,-1,nan,False,498.143000,-589.617400,-2.245104000,,,,
2,3,-1,-1,nan,False,497.236100,-590.752100,-2.245104000,,,,
3,4,-1,-1,nan,False,496.329200,-591.886700,-2.245104000,,,,
4,5,-1,-1,nan,False,495.422300,-593.021400,-2.245104000,,,,
5,6,-1,-1,nan,False,494.515400,-594.156000,-2.245104000,,,,
6,7,-1,-1,nan,False,493.608500,-595.290700,-2.312361000,,,,
7,8,-1,-1,nan,False,492.701600,-596.425300,-2.470564000,,,,
8,9,-1,-1,nan,False,491.794700,-597.560000,-2.631028000,,,,
9,10,-1,-1,nan,False,490.887800,-598.694600,-2.785773000,,,,
10,11,-1,-1,nan,False,489.539800,-599.195600,-2.785773000,,,,
11,12,-1,-1,nan,False,488.191800,-599.696500,-2.785773000,,,,
12,13,-1,-1,nan,False,486.843800,-600.197500,-2.785773000,,,,
13,14,-1,-1,nan,False,485.495800,-600.698400,-2.785773000,,,,
14,15,-1,-1,nan,False,484.147800,-601.199400,-2.785773000,,,,
15,16,-1,-1,nan,False,482.799900,-601.700400,-2.785773000,,,,
16,17,-1,-1,nan,False,481.451900,-602.201300,-2.785773000,,,,
17,18,-1,-1,nan,False,480.103900,-602.702300,-2.785773000,,,,
18,19,-1,-1,nan,False,478.755900,-603.203300,-2.785773000,,,,
19,20,-1,-1,nan,False,477.407900,-603.704200,-2.770426000,,,,
20,21,-1,-1,nan,False,476.059900,-604.205200,-2.738189000,,,,
21,22,-1,-1,nan,False,474.711900,-604.706100,-2.705935000,,,,
22,23,-1,-1,nan,False,473.363900,-605.207100,-2.673730000,,,,
23,24,-1,-1,nan,False,472.107200,-605.842100,-2.673730000,,,,
24,25,-1,-1,nan,False,470.850400,-606.477200,-2.673730000,,,,
25,26,25,26,0.938793575,True,469.593600,-607.112200,-2.673730000,469.593600,-607.112200,-2.673730000,0.000000
26,27,27,28,0.931137424,True,468.336800,-607.747200,-2.673730000,467.080000,-608.382200,-2.675408000,1.408109
27,28,28,29,0.919768023,True,467.080000,-608.382200,-2.675408000,465.823300,-609.017300,-2.678456000,1.408065
28,29,28,29,0.929610310,True,465.823300,-609.017300,-2.678456000,465.823300,-609.017300,-2.678456000,0.000000
29,30,29,30,0.932800350,True,464.566500,-609.652300,-2.681503000,464.566500,-609.652300,-2.681503000,0.000000
30,31,30,31,0.936547232,True,463.309700,-610.287300,-2.684551000,463.309700,-610.287300,-2.684551000,0.000000
31,32,31,32,0.921579646,True,462.053400,-610.905100,-2.684551000,462.053400,-610.905100,-2.684551000,0.000000
32,33,32,33,0.932187916,True,460.797200,-611.522900,-2.684551000,460.797200,-611.522900,-2.684551000,0.000000
33,34,33,34,0.944438661,True,459.540900,-612.140700,-2.684551000,459.540900,-612.140700,-2.684551000,0.000000
34,35,34,35,0.982701429,True,458.284700,-612.758500,-2.684551000,458.284700,-612.758500,-2.684551000,0.000000
35,36,35,36,0.970777787,True,457.028400,-613.376300,-2.684551000,457.028400,-613.376300,-2.684551000,0.000000
36,37,37,38,0.959669673,True,455.772100,-613.994100,-2.684551000,454.515900,-614.611900,-2.684551000,1.399898
37,38,38,39,0.957753453,True,454.515900,-614.611900,-2.684551000,453.259600,-615.229600,-2.684551000,1.399944
38,39,38,39,0.952579939,True,453.259600,-615.229600,-2.684551000,453.259600,-615.229600,-2.684551000,0.000000
39,40,40,41,0.951622861,True,452.003400,-615.847400,-2.614261000,450.747100,-616.465200,-2.487948000,1.399988
40,41,40,41,0.948856095,True,450.747100,-616.465200,-2.487948000,450.747100,-616.465200,-2.487948000,0.000000
41,42,41,42,0.931205875,True,449.490800,-617.083000,-2.360761000,449.490800,-617.083000,-2.360761000,0.000000
42,43,42,43,0.945147922,True,448.234600,-617.700800,-2.236720000,448.234600,-617.700800,-2.236720000,0.000000
43,44,43,44,0.932841159,True,447.376700,-618.792700,-2.236720000,447.376700,-618.792700,-2.236720000,0.000000
44,45,44,45,0.916228711,True,446.518900,-619.884600,-2.236720000,446.518900,-619.884600,-2.236720000,0.000000
45,46,46,47,0.908888424,True,445.661000,-620.976500,-2.236720000,444.803200,-622.068500,-2.236720000,1.388627
46,47,47,48,0.899123884,True,444.803200,-622.068500,-2.236720000,443.945300,-623.160400,-2.236720000,1.388610
47,48,48,49,0.880511225,True,443.945300,-623.160400,-2.236720000,443.087500,-624.252300,-2.236720000,1.388548
48,49,49,50,0.903203733,True,443.087500,-624.252300,-2.236720000,442.229600,-625.344200,-2.313501000,1.388610
49,50,49,50,0.883349826,True,442.229600,-625.344200,-2.313501000,442.229600,-625.344200,-2.313501000,0.000000
50,51,51,52,0.875788368,True,441.371800,-626.436100,-2.445115000,440.513900,-627.528000,-2.577650000,1.388610
51,52,52,53,0.852760719,True,440.513900,-627.528000,-2.577650000,439.656100,-628.619900,-2.706569000,1.388548
52,53,53,54,0.820980426,True,439.656100,-628.619900,-2.706569000,438.296300,-629.251800,-2.706569000,1.499451
53,54,54,55,0.789133323,True,438.296300,-629.251800,-2.706569000,436.936400,-629.883800,-2.706569000,1.499584
54,55,54,55,0.791836799,True,436.936400,-629.883800,-2.706569000,436.936400,-629.883800,-2.706569000,0.000000
55,56,55,56,0.793770244,True,435.576600,-630.515700,-2.706569000,435.576600,-630.515700,-2.706569000,0.000000
56,57,56,57,0.799542184,True,434.216800,-631.147600,-2.706569000,434.216800,-631.147600,-2.706569000,0.000000
57,58,57,58,0.801716460,True,432.856900,-631.779600,-2.763816000,432.856900,-631.779600,-2.763816000,0.000000
58,59,58,59,0.787154825,True,431.497100,-632.411500,-2.943406000,431.497100,-632.411500,-2.943406000,0.000000
59,60,59,60,0.773586598,True,430.137300,-633.043400,-3.126996000,430.137300,-633.043400,-3.126996000,0.000000
60,61,60,61,0.767644374,True,428.777400,-633.675400,2.980449000,428.777400,-633.675400,2.980449000,0.000000
61,62,61,62,0.772717010,True,427.359000,-633.444800,2.980449000,427.359000,-633.444800,2.980449000,0.000000
62,63,63,64,0.769890089,True,425.940600,-633.214200,2.980449000,424.522200,-632.983700,2.980449000,1.437007
63,64,63,64,0.796054157,True,424.522200,-632.983700,2.980449000,424.522200,-632.983700,2.980449000,0.000000
64,65,64,65,0.777355609,True,423.103700,-632.753100,2.980449000,423.103700,-632.753100,2.980449000,0.000000
65,66,65,66,0.778540220,True,421.685300,-632.522500,2.980449000,421.685300,-632.522500,2.980449000,0.000000
66,67,66,67,0.775180909,True,420.266900,-632.292000,2.980449000,420.266900,-632.292000,2.980449000,0.000000
67,68,67,68,0.753405513,True,418.848500,-632.061400,2.980449000,418.848500,-632.061400,2.980449000,0.000000
68,69,68,69,0.748725133,True,417.430100,-631.830800,2.901273000,417.430100,-631.830800,2.901273000,0.000000
69,70,70,71,0.721468913,True,416.011600,-631.600300,2.727963000,414.593200,-631.369700,2.551872000,1.437023
70,71,70,71,0.728344933,True,414.593200,-631.369700,2.551872000,414.593200,-631.369700,2.551872000,0.000000
71,72,72,73,0.689487624,True,413.174800,-631.139100,2.383463000,412.143100,-630.162200,2.383463000,1.420823
72,73,73,74,0.676772639,True,412.143100,-630.162200,2.383463000,411.111300,-629.185200,2.383463000,1.420965
73,74,73,74,0.658980005,True,411.111300,-629.185200,2.383463000,411.111300,-629.185200,2.383463000,0.000000
74,75,74,75,0.666737957,True,410.079600,-628.208300,2.383463000,410.079600,-628.208300,2.383463000,0.000000
75,76,75,76,0.695416801,True,409.047900,-627.231300,2.293741000,409.047900,-627.231300,2.293741000,0.000000
76,77,76,77,0.703535495,True,408.016100,-626.254400,2.111198000,408.016100,-626.254400,2.111198000,0.000000
77,78,77,78,0.695822460,True,406.984400,-625.277500,1.925649000,406.984400,-625.277500,1.925649000,0.000000
78,79,78,79,0.673080160,True,405.952700,-624.300500,1.749272000,405.952700,-624.300500,1.749272000,0.000000
79,80,80,81,0.655059513,True,405.704900,-622.927200,1.749272000,405.457200,-621.553900,1.749272000,1.395460
80,81,80,81,0.654655873,True,405.457200,-621.553900,1.749272000,405.457200,-621.553900,1.749272000,0.000000
81,82,81,82,0.658596659,True,405.209500,-620.180600,1.749272000,405.209500,-620.180600,1.749272000,0.000000
82,83,82,83,0.645868394,True,404.961700,-618.807300,1.749272000,404.961700,-618.807300,1.749272000,0.000000
83,84,84,85,0.632750871,True,404.714000,-617.433900,1.749272000,404.466200,-616.060600,1.749272000,1.395478
84,85,85,86,0.617504422,True,404.466200,-616.060600,1.749272000,404.218500,-614.687300,1.726706000,1.395460
85,86,86,87,0.612514054,True,404.218500,-614.687300,1.726706000,403.970800,-613.314000,1.687900000,1.395460
86,87,86,87,0.596332913,True,403.970800,-613.314000,1.687900000,403.970800,-613.314000,1.687900000,0.000000
87,88,87,88,0.599718739,True,403.723000,-611.940700,1.649070000,403.723000,-611.940700,1.649070000,0.000000
88,89,88,89,0.602535375,True,403.475300,-610.567400,1.610332000,403.475300,-610.567400,1.610332000,0.000000
89,90,89,90,0.585121130,True,403.416500,-609.082400,1.610332000,403.416500,-609.082400,1.610332000,0.000000
90,91,90,91,0.589175207,True,403.357800,-607.597500,1.610332000,403.357800,-607.597500,1.610332000,0.000000
91,92,91,92,0.585683539,True,403.299100,-606.112500,1.610332000,403.299100,-606.112500,1.610332000,0.000000
92,93,93,94,0.568938440,True,403.240300,-604.627600,1.610332000,403.181600,-603.142700,1.610332000,1.486060
93,94,94,95,0.549520505,True,403.181600,-603.142700,1.610332000,403.122900,-601.657700,1.610332000,1.486160
94,95,94,95,0.560597182,True,403.122900,-601.657700,1.610332000,403.122900,-601.657700,1.610332000,0.000000
95,96,95,96,0.572314771,True,403.064100,-600.172800,1.610332000,403.064100,-600.172800,1.610332000,0.000000
96,97,96,97,0.580994772,True,403.005400,-598.687900,1.610332000,403.005400,-598.687900,1.610332000,0.000000
97,98,97,98,0.591930837,True,402.946600,-597.202900,1.656553000,402.946600,-597.202900,1.656553000,0.000000
98,99,98,99,0.576934987,True,402.887900,-595.718000,1.786641000,402.887900,-595.718000,1.786641000,0.000000
99,100,99,100,0.589821121,True,402.829200,-594.233000,1.918154000,402.829200,-594.233000,1.918154000,0.000000
100,101,100,101,0.593383198,True,402.770400,-592.748100,2.046645000,402.770400,-592.748100,2.046645000,0.000000
101,102,101,102,0.604473649,True,402.120500,-591.486900,2.046645000,402.120500,-591.486900,2.046645000,0.000000
102,103,102,103,0.619874267,True,401.470600,-590.225800,2.046645000,401.470600,-590.225800,2.046645000,0.000000
103,104,103,104,0.635522532,True,400.820600,-588.964600,2.046645000,400.820600,-588.964600,2.046645000,0.000000
104,105,104,105,0.632050655,True,400.170700,-587.703400,2.046645000,400.170700,-587.703400,2.046645000,0.000000
105,106,105,106,0.632579773,True,399.520700,-586.442300,2.046645000,399.520700,-586.442300,2.046645000,0.000000
106,107,106,107,0.639316421,True,398.870800,-585.181100,2.082659000,398.870800,-585.181100,2.082659000,0.000000
107,108,107,108,0.640393608,True,398.220900,-583.919900,2.151916000,398.220900,-583.919900,2.151916000,0.000000
108,109,108,109,0.649188506,True,397.570900,-582.658800,2.221330000,397.570900,-582.658800,2.221330000,0.000000
109,110,109,110,0.645013182,True,396.921000,-581.397600,2.290240000,396.921000,-581.397600,2.290240000,0.000000
110,111,110,111,0.643058777,True,395.990100,-580.335000,2.290240000,395.990100,-580.335000,2.290240000,0.000000
111,112,111,112,0.648885373,True,395.059100,-579.272400,2.290240000,395.059100,-579.272400,2.290240000,0.000000
112,113,112,113,0.652638771,True,394.128200,-578.209800,2.290240000,394.128200,-578.209800,2.290240000,0.000000
113,114,113,114,0.653301100,True,393.197200,-577.147200,2.290240000,393.197200,-577.147200,2.290240000,0.000000
114,115,114,115,0.672430002,True,392.266300,-576.084500,2.290240000,392.266300,-576.084500,2.290240000,0.000000
115,116,115,116,0.686063427,True,391.335400,-575.021900,2.290240000,391.335400,-575.021900,2.290240000,0.000000
116,117,116,117,0.682498182,True,390.404400,-573.959300,2.290240000,390.404400,-573.959300,2.290240000,0.000000
117,118,117,118,0.677940393,True,389.473500,-572.896700,2.290240000,389.473500,-572.896700,2.290240000,0.000000
118,119,118,119,0.681252329,True,388.542600,-571.834100,2.302303000,388.542600,-571.834100,2.302303000,0.000000
119,120,119,120,0.660999511,True,387.611600,-570.771500,2.324690000,387.611600,-570.771500,2.324690000,0.000000
120,121,121,122,0.657493595,True,386.680700,-569.708900,2.347083000,385.749800,-568.646300,2.369459000,1.412690
121,122,121,122,0.679141199,True,385.749800,-568.646300,2.369459000,385.749800,-568.646300,2.369459000,0.000000
122,123,122,123,0.696066278,True,384.747500,-567.670200,2.369459000,384.747500,-567.670200,2.369459000,0.000000
123,124,123,124,0.692012155,True,383.745200,-566.694200,2.369459000,383.745200,-566.694200,2.369459000,0.000000
124,125,124,125,0.692589418,True,382.742900,-565.718100,2.369459000,382.742900,-565.718100,2.369459000,0.000000
125,126,125,126,0.669912465,True,381.740600,-564.742100,2.369459000,381.740600,-564.742100,2.369459000,0.000000
126,127,127,128,0.671607959,True,380.738300,-563.766000,2.369459000,379.736000,-562.790000,2.369459000,1.398993
127,128,127,128,0.682463565,True,379.736000,-562.790000,2.369459000,379.736000,-562.790000,2.369459000,0.000000
128,129,128,129,0.682345861,True,378.733700,-561.813900,2.369459000,378.733700,-561.813900,2.369459000,0.000000
129,130,129,130,0.694369245,True,377.731400,-560.837900,2.369459000,377.731400,-560.837900,2.369459000,0.000000
130,131,131,132,0.662781144,True,376.729100,-559.861800,2.369459000,375.726900,-558.885800,2.369459000,1.398921
131,132,131,132,0.676412266,True,375.726900,-558.885800,2.369459000,375.726900,-558.885800,2.369459000,0.000000
132,133,132,133,0.664398713,True,374.724600,-557.909800,2.316618000,374.724600,-557.909800,2.316618000,0.000000
133,134,133,134,0.656852206,True,373.722300,-556.933700,2.223190000,373.722300,-556.933700,2.223190000,0.000000
134,135,134,135,0.670816830,True,372.720000,-555.957700,2.129412000,372.720000,-555.957700,2.129412000,0.000000
135,136,135,136,0.677479234,True,371.717700,-554.981600,2.036912000,371.717700,-554.981600,2.036912000,0.000000
136,137,136,137,0.686797013,True,371.045000,-553.644500,2.036912000,371.045000,-553.644500,2.036912000,0.000000
137,138,137,138,0.683606085,True,370.372300,-552.307400,2.036912000,370.372300,-552.307400,2.036912000,0.000000
138,139,138,139,0.684961782,True,369.699700,-550.970300,2.036912000,369.699700,-550.970300,2.036912000,0.000000
139,140,139,140,0.686781882,True,369.027000,-549.633200,2.036912000,369.027000,-549.633200,2.036912000,0.000000
140,141,141,142,0.686300635,True,368.354300,-548.296200,2.036912000,367.681600,-546.959100,2.036912000,1.496784
141,142,141,142,0.691231736,True,367.681600,-546.959100,2.036912000,367.681600,-546.959100,2.036912000,0.000000
142,143,142,143,0.673807394,True,367.009000,-545.622000,2.036912000,367.009000,-545.622000,2.036912000,0.000000
143,144,143,144,0.663823639,True,366.336300,-544.284900,2.073976000,366.336300,-544.284900,2.073976000,0.000000
144,145,144,145,0.663752801,True,365.663600,-542.947800,2.184828000,365.663600,-542.947800,2.184828000,0.000000
145,146,145,146,0.647207260,True,364.990900,-541.610700,2.296590000,364.990900,-541.610700,2.296590000,0.000000
146,147,147,148,0.648704905,True,364.318300,-540.273600,2.406516000,363.213500,-539.274800,2.406516000,1.489357
147,148,148,149,0.640559214,True,363.213500,-539.274800,2.406516000,362.108700,-538.276000,2.406516000,1.489357
148,149,149,150,0.630213770,True,362.108700,-538.276000,2.406516000,361.004000,-537.277200,2.406516000,1.489283
149,150,149,150,0.639992399,True,361.004000,-537.277200,2.406516000,361.004000,-537.277200,2.406516000,0.000000
150,151,151,152,0.644250599,True,359.899200,-536.278400,2.406516000,358.794500,-535.279500,2.406516000,1.489350
151,152,152,153,0.648447790,True,358.794500,-535.279500,2.406516000,357.689700,-534.280700,2.406516000,1.489357
152,153,152,153,0.623045274,True,357.689700,-534.280700,2.406516000,357.689700,-534.280700,2.406516000,0.000000
153,154,153,154,0.623464156,True,356.585000,-533.281900,2.406516000,356.585000,-533.281900,2.406516000,0.000000
154,155,154,155,0.623598341,True,355.480200,-532.283100,2.406516000,355.480200,-532.283100,2.406516000,0.000000
155,156,155,156,0.634154859,True,354.375500,-531.284300,2.447274000,354.375500,-531.284300,2.447274000,0.000000
156,157,156,157,0.602811840,True,353.270700,-530.285500,2.563726000,353.270700,-530.285500,2.563726000,0.000000
157,158,157,158,0.601593401,True,352.165900,-529.286700,2.681207000,352.165900,-529.286700,2.681207000,0.000000
158,159,158,159,0.595292225,True,351.061200,-528.287900,2.796535000,351.061200,-528.287900,2.796535000,0.000000
159,160,159,160,0.611265964,True,349.700500,-527.798800,2.796535000,349.700500,-527.798800,2.796535000,0.000000
160,161,161,162,0.616645586,True,348.339800,-527.309700,2.796535000,346.979200,-526.820600,2.796535000,1.445839
161,162,161,162,0.610855363,True,346.979200,-526.820600,2.796535000,346.979200,-526.820600,2.796535000,0.000000
162,163,162,163,0.614814857,True,345.618500,-526.331600,2.796535000,345.618500,-526.331600,2.796535000,0.000000
163,164,163,164,0.639839486,True,344.257800,-525.842500,2.796535000,344.257800,-525.842500,2.796535000,0.000000
164,165,165,166,0.629421679,True,342.897200,-525.353400,2.796535000,341.536500,-524.864300,2.796535000,1.445933
165,166,165,166,0.608624257,True,341.536500,-524.864300,2.796535000,341.536500,-524.864300,2.796535000,0.000000
166,167,166,167,0.619987442,True,340.175800,-524.375300,2.796535000,340.175800,-524.375300,2.796535000,0.000000
