query_array_index,query_frame_id,matched_ref_index,matched_ref_frame_id,quality,valid,gt_x,gt_y,gt_yaw_rad,est_x,est_y,est_yaw_rad,xy_error
0,1,-1,-1,nan,False,-105.000000,4.500000,-1.570796000,,,,
1,2,-1,-1,nan,False,-105.000000,2.528600,-1.570796000,,,,
2,3,-1,-1,nan,False,-105.000000,0.557100,-1.570796000,,,,
3,4,-1,-1,nan,False,-105.000000,-1.414300,-1.570796000,,,,
4,5,-1,-1,nan,False,-105.000000,-3.385700,-1.570796000,,,,
5,6,-1,-1,nan,False,-105.000000,-5.357100,-1.570796000,,,,
6,7,-1,-1,nan,False,-105.000000,-7.328600,-1.570796000,,,,
7,8,-1,-1,nan,False,-105.000000,-9.300000,-1.570796000,,,,
8,9,-1,-1,nan,False,-105.000000,-11.271400,-1.570796000,,,,
9,10,-1,-1,nan,False,-105.000000,-13.242900,-1.570796000,,,,
10,11,-1,-1,nan,False,-105.000000,-15.214300,-1.570796000,,,,
11,12,-1,-1,nan,False,-105.000000,-17.185700,-1.570796000,,,,
12,13,-1,-1,nan,False,-105.000000,-19.157100,-1.570796000,,,,
13,14,-1,-1,nan,False,-105.000000,-21.128600,-1.570796000,,,,
14,15,-1,-1,nan,False,-105.000000,-23.100000,-1.570796000,,,,
15,16,-1,-1,nan,False,-105.000000,-25.071400,-1.570796000,,,,
16,17,-1,-1,nan,False,-105.000000,-27.042900,-1.570796000,,,,
17,18,-1,-1,nan,False,-105.000000,-29.014300,-1.570796000,,,,
18,19,-1,-1,nan,False,-105.000000,-30.985700,-1.570796000,,,,
19,20,-1,-1,nan,False,-105.000000,-32.957100,-1.570796000,,,,
20,21,-1,-1,nan,False,-105.000000,-34.928600,-1.570796000,,,,
21,22,-1,-1,nan,False,-105.000000,-36.900000,-1.570796000,,,,
22,23,-1,-1,nan,False,-105.000000,-38.871400,-1.570796000,,,,
23,24,-1,-1,nan,False,-105.000000,-40.842900,-1.570796000,,,,
24,25,-1,-1,nan,False,-105.000000,-42.814300,-1.570796000,,,,
25,26,76,77,0.996952342,True,-105.000000,-44.785700,-1.570796000,-46.757100,-105.000000,0.000000000,83.773488
26,27,143,144,0.999107920,True,-105.000000,-46.757100,-1.570796000,52.129300,-49.426300,0.638136000,157.151970
27,28,340,341,0.989355333,True,-105.000000,-48.728600,-1.570796000,-79.998700,41.917100,-2.724350000,94.030356
28,29,35,36,0.995172420,True,-105.000000,-50.700000,-1.570796000,-105.000000,-64.500000,-1.546253000,13.800000
29,30,114,115,0.999974483,True,-105.000000,-52.671400,-1.570796000,27.000600,-98.174500,0.613592000,139.623388
30,31,257,258,0.997406325,True,-105.000000,-54.642900,-1.570796000,48.728600,105.000000,3.141593000,221.626573
31,32,258,259,0.986829358,True,-105.000000,-56.614300,-1.570796000,46.757100,105.000000,3.141593000,221.696638
32,33,258,259,0.996588716,True,-105.000000,-58.585700,-1.570796000,46.757100,105.000000,3.141593000,223.137847
33,34,315,316,0.996986124,True,-105.000000,-60.557100,-1.570796000,-44.951200,66.487200,-1.595340000,140.520862
34,35,286,287,0.990702778,True,-105.000000,-62.528600,-1.570796000,-8.469700,104.805000,-3.018874000,193.180311
35,36,317,318,0.999827583,True,-105.000000,-64.500000,-1.546253000,-45.093900,62.588700,-1.718058000,140.500101
36,37,217,218,0.997282583,True,-104.951200,-66.487200,-1.497165000,105.000000,64.500000,1.595340000,247.461417
37,38,255,256,0.998593041,True,-104.805000,-68.469700,-1.448078000,52.671400,105.000000,3.141593000,234.287331
38,39,217,218,0.999396911,True,-104.561600,-70.442600,-1.398990000,105.000000,64.500000,1.595340000,249.250014
39,40,283,284,0.990256765,True,-104.221800,-72.401200,-1.349903000,-2.528600,105.000000,3.141593000,204.481522
40,41,283,284,0.984551956,True,-103.786300,-74.340700,-1.300816000,-2.528600,105.000000,3.141593000,205.951957
41,42,39,40,0.996018590,True,-103.256100,-76.256500,-1.251728000,-104.221800,-72.401200,-1.349903000,3.974407
42,43,286,287,0.990484184,True,-102.632500,-78.144000,-1.202641000,-8.469700,104.805000,-3.018874000,205.759494
43,44,41,42,0.971974233,True,-101.917100,-79.998700,-1.153554000,-103.256100,-76.256500,-1.251728000,3.974542
44,45,42,43,0.991863465,True,-101.111600,-81.816000,-1.104466000,-102.632500,-78.144000,-1.202641000,3.974509
45,46,43,44,0.977699537,True,-100.217800,-83.591600,-1.055379000,-101.917100,-79.998700,-1.153554000,3.974488
46,47,43,44,0.993658243,True,-99.238000,-85.321200,-1.006291000,-101.917100,-79.998700,-1.153554000,5.958740
47,48,44,45,0.987477767,True,-98.174500,-87.000600,-0.957204000,-101.111600,-81.816000,-1.104466000,5.958744
48,49,45,46,0.991266530,True,-97.029900,-88.625800,-0.908117000,-100.217800,-83.591600,-1.055379000,5.958681
49,50,226,227,0.988460471,True,-95.806900,-90.192900,-0.859029000,101.111600,81.816000,2.037126000,261.465021
50,51,47,48,0.979313886,True,-94.508500,-91.698100,-0.809942000,-98.174500,-87.000600,-0.957204000,5.958696
51,52,294,295,0.990325881,True,-93.137800,-93.137800,-0.760854000,-23.591600,100.217800,-2.626175000,205.482510
52,53,48,49,0.979590279,True,-91.698100,-94.508500,-0.711767000,-97.029900,-88.625800,-0.908117000,7.939411
53,54,49,50,0.999398595,True,-90.192900,-95.806900,-0.662680000,-95.806900,-90.192900,-0.859029000,7.939395
54,55,226,227,0.999639598,True,-88.625800,-97.029900,-0.613592000,101.111600,81.816000,2.037126000,260.741514
55,56,84,85,0.998231230,True,-87.000600,-98.174500,-0.564505000,-30.985700,-105.000000,0.000000000,56.429216
56,57,288,289,0.980253755,True,-85.321200,-99.238000,-0.515418000,-12.401200,104.221800,-2.920699000,216.132405
57,58,63,64,0.999418037,True,-83.591600,-100.217800,-0.466330000,-72.401200,-104.221800,-0.171806000,11.885162
58,59,141,142,0.997517039,True,-81.816000,-101.111600,-0.417243000,49.426300,-52.129300,0.834486000,140.084999
59,60,78,79,0.998421191,True,-79.998700,-101.917100,-0.368155000,-42.814300,-105.000000,0.000000000,37.311980
60,61,291,292,0.993675963,True,-78.144000,-102.632500,-0.319068000,-18.144000,102.632500,-2.773437000,213.854437
61,62,124,125,0.994373800,True,-76.256500,-103.256100,-0.269981000,40.217800,-83.591600,1.104466000,118.122627
62,63,125,126,0.995573431,True,-74.340700,-103.786300,-0.220893000,41.111600,-81.816000,1.153554000,117.524158
63,64,143,144,0.990565557,True,-72.401200,-104.221800,-0.171806000,52.129300,-49.426300,0.638136000,136.052902
64,65,240,241,0.994651114,True,-70.442600,-104.561600,-0.122718000,81.816000,101.111600,2.724350000,255.898704
65,66,143,144,0.982625953,True,-68.469700,-104.805000,-0.073631000,52.129300,-49.426300,0.638136000,132.706139
66,67,236,237,0.983549989,True,-66.487200,-104.951200,-0.024544000,88.625800,97.029900,2.528000000,254.669212
67,68,69,70,0.996348694,True,-64.500000,-105.000000,0.000000000,-60.557100,-105.000000,0.000000000,3.942900
68,69,226,227,0.996691211,True,-62.528600,-105.000000,0.000000000,101.111600,81.816000,2.037126000,248.351229
69,70,240,241,0.975086480,True,-60.557100,-105.000000,0.000000000,81.816000,101.111600,2.724350000,250.503675
70,71,240,241,0.996029839,True,-58.585700,-105.000000,0.000000000,81.816000,101.111600,2.724350000,249.388510
71,72,241,242,0.998108509,True,-56.614300,-105.000000,0.000000000,79.998700,101.917100,2.773437000,247.947168
72,73,241,242,0.988029207,True,-54.642900,-105.000000,0.000000000,79.998700,101.917100,2.773437000,246.866455
73,74,75,76,0.991581702,True,-52.671400,-105.000000,0.000000000,-48.728600,-105.000000,0.000000000,3.942800
74,75,157,158,0.977566797,True,-50.700000,-105.000000,0.000000000,78.144000,-42.632500,0.368155000,143.144966
