query_array_index,query_frame_id,matched_ref_index,matched_ref_frame_id,quality,valid,gt_x,gt_y,gt_yaw_rad,est_x,est_y,est_yaw_rad,xy_error
0,1,-1,-1,nan,False,499.050000,-588.482800,-2.245104000,,,,
1,2,-1,-1,nan,False,498.143000,-589.617400,-2.245104000,,,,
2,3,-1,-1,nan,False,497.236100,-590.752100,-2.245104000,,,,
3,4,-1,-1,nan,False,496.329200,-591.886700,-2.245104000,,,,
4,5,-1,-1,nan,False,495.422300,-593.021400,-2.245104000,,,,
5,6,-1,-1,nan,False,494.515400,-594.156000,-2.245104000,,,,
6,7,-1,-1,nan,False,493.608500,-595.290700,-2.312361000,,,,
7,8,-1,-1,nan,False,492.701600,-596.425300,-2.470564000,,,,
8,9,-1,-1,nan,False,491.794700,-597.560000,-2.631028000,,,,
9,10,-1,-1,nan,False,490.887800,-598.694600,-2.785773000,,,,
10,11,-1,-1,nan,False,489.539800,-599.195600,-2.785773000,,,,
11,12,-1,-1,nan,False,488.191800,-599.696500,-2.785773000,,,,
12,13,-1,-1,nan,False,486.843800,-600.197500,-2.785773000,,,,
13,14,-1,-1,nan,False,485.495800,-600.698400,-2.785773000,,,,
14,15,-1,-1,nan,False,484.147800,-601.199400,-2.785773000,,,,
15,16,-1,-1,nan,False,482.799900,-601.700400,-2.785773000,,,,
16,17,-1,-1,nan,False,481.451900,-602.201300,-2.785773000,,,,
17,18,-1,-1,nan,False,480.103900,-602.702300,-2.785773000,,,,
18,19,-1,-1,nan,False,478.755900,-603.203300,-2.785773000,,,,
19,20,-1,-1,nan,False,477.407900,-603.704200,-2.770426000,,,,
20,21,-1,-1,nan,False,476.059900,-604.205200,-2.738189000,,,,
21,22,-1,-1,nan,False,474.711900,-604.706100,-2.705935000,,,,
22,23,-1,-1,nan,False,473.363900,-605.207100,-2.673730000,,,,
23,24,-1,-1,nan,False,472.107200,-605.842100,-2.673730000,,,,
24,25,-1,-1,nan,False,470.850400,-606.477200,-2.673730000,,,,
25,26,26,27,0.973015048,True,469.593600,-607.112200,-2.673730000,468.336800,-607.747200,-2.673730000,1.408109
26,27,26,27,0.989942769,True,468.336800,-607.747200,-2.673730000,468.336800,-607.747200,-2.673730000,0.000000
27,28,27,28,0.948252156,True,467.080000,-608.382200,-2.675408000,467.080000,-608.382200,-2.675408000,0.000000
28,29,29,30,0.939162026,True,465.823300,-609.017300,-2.678456000,464.566500,-609.652300,-2.681503000,1.408109
29,30,30,31,0.915228224,True,464.566500,-609.652300,-2.681503000,463.309700,-610.287300,-2.684551000,1.408109
30,31,30,31,0.900512212,True,463.309700,-610.287300,-2.684551000,463.309700,-610.287300,-2.684551000,0.000000
31,32,31,32,0.897440881,True,462.053400,-610.905100,-2.684551000,462.053400,-610.905100,-2.684551000,0.000000
32,33,32,33,0.895968595,True,460.797200,-611.522900,-2.684551000,460.797200,-611.522900,-2.684551000,0.000000
33,34,33,34,0.879139888,True,459.540900,-612.140700,-2.684551000,459.540900,-612.140700,-2.684551000,0.000000
34,35,34,35,0.890669538,True,458.284700,-612.758500,-2.684551000,458.284700,-612.758500,-2.684551000,0.000000
35,36,35,36,0.881163193,True,457.028400,-613.376300,-2.684551000,457.028400,-613.376300,-2.684551000,0.000000
36,37,36,37,0.882919211,True,455.772100,-613.994100,-2.684551000,455.772100,-613.994100,-2.684551000,0.000000
37,38,38,39,0.871479977,True,454.515900,-614.611900,-2.684551000,453.259600,-615.229600,-2.684551000,1.399944
38,39,38,39,0.894206245,True,453.259600,-615.229600,-2.684551000,453.259600,-615.229600,-2.684551000,0.000000
39,40,39,40,0.922103812,True,452.003400,-615.847400,-2.614261000,452.003400,-615.847400,-2.614261000,0.000000
40,41,40,41,0.926161989,True,450.747100,-616.465200,-2.487948000,450.747100,-616.465200,-2.487948000,0.000000
41,42,41,42,0.913609451,True,449.490800,-617.083000,-2.360761000,449.490800,-617.083000,-2.360761000,0.000000
42,43,42,43,0.914848827,True,448.234600,-617.700800,-2.236720000,448.234600,-617.700800,-2.236720000,0.000000
43,44,43,44,0.916581833,True,447.376700,-618.792700,-2.236720000,447.376700,-618.792700,-2.236720000,0.000000
44,45,45,46,0.911199586,True,446.518900,-619.884600,-2.236720000,445.661000,-620.976500,-2.236720000,1.388610
45,46,46,47,0.891577427,True,445.661000,-620.976500,-2.236720000,444.803200,-622.068500,-2.236720000,1.388627
46,47,46,47,0.888645278,True,444.803200,-622.068500,-2.236720000,444.803200,-622.068500,-2.236720000,0.000000
47,48,47,48,0.890054234,True,443.945300,-623.160400,-2.236720000,443.945300,-623.160400,-2.236720000,0.000000
48,49,48,49,0.902752216,True,443.087500,-624.252300,-2.236720000,443.087500,-624.252300,-2.236720000,0.000000
49,50,49,50,0.918468782,True,442.229600,-625.344200,-2.313501000,442.229600,-625.344200,-2.313501000,0.000000
50,51,50,51,0.916875628,True,441.371800,-626.436100,-2.445115000,441.371800,-626.436100,-2.445115000,0.000000
51,52,51,52,0.903564970,True,440.513900,-627.528000,-2.577650000,440.513900,-627.528000,-2.577650000,0.000000
52,53,52,53,0.916753416,True,439.656100,-628.619900,-2.706569000,439.656100,-628.619900,-2.706569000,0.000000
53,54,53,54,0.927189329,True,438.296300,-629.251800,-2.706569000,438.296300,-629.251800,-2.706569000,0.000000
54,55,54,55,0.931925242,True,436.936400,-629.883800,-2.706569000,436.936400,-629.883800,-2.706569000,0.000000
55,56,55,56,0.953784266,True,435.576600,-630.515700,-2.706569000,435.576600,-630.515700,-2.706569000,0.000000
56,57,56,57,0.942624606,True,434.216800,-631.147600,-2.706569000,434.216800,-631.147600,-2.706569000,0.000000
57,58,55,56,0.957150489,True,432.856900,-631.779600,-2.763816000,435.576600,-630.515700,-2.706569000,2.999035
58,59,58,59,0.940902996,True,431.497100,-632.411500,-2.943406000,431.497100,-632.411500,-2.943406000,0.000000
59,60,59,60,0.944906635,True,430.137300,-633.043400,-3.126996000,430.137300,-633.043400,-3.126996000,0.000000
60,61,60,61,0.953093299,True,428.777400,-633.675400,2.980449000,428.777400,-633.675400,2.980449000,0.000000
61,62,62,63,0.972276019,True,427.359000,-633.444800,2.980449000,425.940600,-633.214200,2.980449000,1.437023
62,63,62,63,0.998009269,True,425.940600,-633.214200,2.980449000,425.940600,-633.214200,2.980449000,0.000000
63,64,67,68,0.955789431,True,424.522200,-632.983700,2.980449000,418.848500,-632.061400,2.980449000,5.748174
64,65,70,71,0.973099012,True,423.103700,-632.753100,2.980449000,414.593200,-631.369700,2.551872000,8.622204
65,66,70,71,0.960467048,True,421.685300,-632.522500,2.980449000,414.593200,-631.369700,2.551872000,7.185181
66,67,69,70,0.939626893,True,420.266900,-632.292000,2.980449000,416.011600,-631.600300,2.727963000,4.311151
67,68,67,68,0.949882718,True,418.848500,-632.061400,2.980449000,418.848500,-632.061400,2.980449000,0.000000
68,69,68,69,0.948439306,True,417.430100,-631.830800,2.901273000,417.430100,-631.830800,2.901273000,0.000000
69,70,70,71,0.890494048,True,416.011600,-631.600300,2.727963000,414.593200,-631.369700,2.551872000,1.437023
70,71,70,71,0.889858242,True,414.593200,-631.369700,2.551872000,414.593200,-631.369700,2.551872000,0.000000
71,72,71,72,0.864798560,True,413.174800,-631.139100,2.383463000,413.174800,-631.139100,2.383463000,0.000000
72,73,73,74,0.819816742,True,412.143100,-630.162200,2.383463000,411.111300,-629.185200,2.383463000,1.420965
73,74,74,75,0.785897198,True,411.111300,-629.185200,2.383463000,410.079600,-628.208300,2.383463000,1.420823
74,75,74,75,0.786284145,True,410.079600,-628.208300,2.383463000,410.079600,-628.208300,2.383463000,0.000000
75,76,75,76,0.762844725,True,409.047900,-627.231300,2.293741000,409.047900,-627.231300,2.293741000,0.000000
76,77,76,77,0.763893570,True,408.016100,-626.254400,2.111198000,408.016100,-626.254400,2.111198000,0.000000
77,78,77,78,0.770185967,True,406.984400,-625.277500,1.925649000,406.984400,-625.277500,1.925649000,0.000000
78,79,78,79,0.778581414,True,405.952700,-624.300500,1.749272000,405.952700,-624.300500,1.749272000,0.000000
79,80,79,80,0.779918229,True,405.704900,-622.927200,1.749272000,405.704900,-622.927200,1.749272000,0.000000
80,81,81,82,0.750972949,True,405.457200,-621.553900,1.749272000,405.209500,-620.180600,1.749272000,1.395460
81,82,81,82,0.771633744,True,405.209500,-620.180600,1.749272000,405.209500,-620.180600,1.749272000,0.000000
82,83,82,83,0.764512846,True,404.961700,-618.807300,1.749272000,404.961700,-618.807300,1.749272000,0.000000
83,84,83,84,0.786119159,True,404.714000,-617.433900,1.749272000,404.714000,-617.433900,1.749272000,0.000000
84,85,84,85,0.794549058,True,404.466200,-616.060600,1.749272000,404.466200,-616.060600,1.749272000,0.000000
85,86,86,87,0.793436845,True,404.218500,-614.687300,1.726706000,403.970800,-613.314000,1.687900000,1.395460
86,87,86,87,0.832054027,True,403.970800,-613.314000,1.687900000,403.970800,-613.314000,1.687900000,0.000000
87,88,87,88,0.827140745,True,403.723000,-611.940700,1.649070000,403.723000,-611.940700,1.649070000,0.000000
88,89,89,90,0.805458464,True,403.475300,-610.567400,1.610332000,403.416500,-609.082400,1.610332000,1.486164
89,90,89,90,0.794657316,True,403.416500,-609.082400,1.610332000,403.416500,-609.082400,1.610332000,0.000000
90,91,91,92,0.761339441,True,403.357800,-607.597500,1.610332000,403.299100,-606.112500,1.610332000,1.486160
91,92,92,93,0.747374072,True,403.299100,-606.112500,1.610332000,403.240300,-604.627600,1.610332000,1.486064
92,93,92,93,0.776102757,True,403.240300,-604.627600,1.610332000,403.240300,-604.627600,1.610332000,0.000000
93,94,93,94,0.781802320,True,403.181600,-603.142700,1.610332000,403.181600,-603.142700,1.610332000,0.000000
94,95,95,96,0.780706532,True,403.122900,-601.657700,1.610332000,403.064100,-600.172800,1.610332000,1.486064
95,96,95,96,0.795525311,True,403.064100,-600.172800,1.610332000,403.064100,-600.172800,1.610332000,0.000000
96,97,96,97,0.819243681,True,403.005400,-598.687900,1.610332000,403.005400,-598.687900,1.610332000,0.000000
97,98,98,99,0.794218619,True,402.946600,-597.202900,1.656553000,402.887900,-595.718000,1.786641000,1.486060
98,99,99,100,0.814569571,True,402.887900,-595.718000,1.786641000,402.829200,-594.233000,1.918154000,1.486160
99,100,99,100,0.846544023,True,402.829200,-594.233000,1.918154000,402.829200,-594.233000,1.918154000,0.000000
100,101,100,101,0.854392147,True,402.770400,-592.748100,2.046645000,402.770400,-592.748100,2.046645000,0.000000
101,102,101,102,0.887952672,True,402.120500,-591.486900,2.046645000,402.120500,-591.486900,2.046645000,0.000000
102,103,103,104,0.863454988,True,401.470600,-590.225800,2.046645000,400.820600,-588.964600,2.046645000,1.418847
103,104,103,104,0.887933007,True,400.820600,-588.964600,2.046645000,400.820600,-588.964600,2.046645000,0.000000
104,105,104,105,0.897532886,True,400.170700,-587.703400,2.046645000,400.170700,-587.703400,2.046645000,0.000000
105,106,105,106,0.871393009,True,399.520700,-586.442300,2.046645000,399.520700,-586.442300,2.046645000,0.000000
106,107,106,107,0.866059758,True,398.870800,-585.181100,2.082659000,398.870800,-585.181100,2.082659000,0.000000
107,108,108,109,0.848679569,True,398.220900,-583.919900,2.151916000,397.570900,-582.658800,2.221330000,1.418758
108,109,109,110,0.829298506,True,397.570900,-582.658800,2.221330000,396.921000,-581.397600,2.290240000,1.418801
109,110,109,110,0.812257227,True,396.921000,-581.397600,2.290240000,396.921000,-581.397600,2.290240000,0.000000
110,111,111,112,0.822757262,True,395.990100,-580.335000,2.290240000,395.059100,-579.272400,2.290240000,1.412756
111,112,112,113,0.825951541,True,395.059100,-579.272400,2.290240000,394.128200,-578.209800,2.290240000,1.412690
112,113,112,113,0.792579859,True,394.128200,-578.209800,2.290240000,394.128200,-578.209800,2.290240000,0.000000
113,114,113,114,0.795502396,True,393.197200,-577.147200,2.290240000,393.197200,-577.147200,2.290240000,0.000000
114,115,114,115,0.784772304,True,392.266300,-576.084500,2.290240000,392.266300,-576.084500,2.290240000,0.000000
115,116,116,117,0.767072549,True,391.335400,-575.021900,2.290240000,390.404400,-573.959300,2.290240000,1.412756
116,117,117,118,0.743378629,True,390.404400,-573.959300,2.290240000,389.473500,-572.896700,2.290240000,1.412690
117,118,118,119,0.734373274,True,389.473500,-572.896700,2.290240000,388.542600,-571.834100,2.302303000,1.412690
118,119,119,120,0.733528594,True,388.542600,-571.834100,2.302303000,387.611600,-570.771500,2.324690000,1.412756
119,120,119,120,0.717500796,True,387.611600,-570.771500,2.324690000,387.611600,-570.771500,2.324690000,0.000000
120,121,120,121,0.733293581,True,386.680700,-569.708900,2.347083000,386.680700,-569.708900,2.347083000,0.000000
121,122,121,122,0.727741697,True,385.749800,-568.646300,2.369459000,385.749800,-568.646300,2.369459000,0.000000
122,123,122,123,0.732922108,True,384.747500,-567.670200,2.369459000,384.747500,-567.670200,2.369459000,0.000000
123,124,123,124,0.748542755,True,383.745200,-566.694200,2.369459000,383.745200,-566.694200,2.369459000,0.000000
124,125,125,126,0.763062204,True,382.742900,-565.718100,2.369459000,381.740600,-564.742100,2.369459000,1.398993
125,126,125,126,0.784535420,True,381.740600,-564.742100,2.369459000,381.740600,-564.742100,2.369459000,0.000000
126,127,126,127,0.803707453,True,380.738300,-563.766000,2.369459000,380.738300,-563.766000,2.369459000,0.000000
127,128,127,128,0.821947165,True,379.736000,-562.790000,2.369459000,379.736000,-562.790000,2.369459000,0.000000
128,129,128,129,0.842335982,True,378.733700,-561.813900,2.369459000,378.733700,-561.813900,2.369459000,0.000000
129,130,129,130,0.853445635,True,377.731400,-560.837900,2.369459000,377.731400,-560.837900,2.369459000,0.000000
130,131,130,131,0.853040253,True,376.729100,-559.861800,2.369459000,376.729100,-559.861800,2.369459000,0.000000
131,132,131,132,0.833068520,True,375.726900,-558.885800,2.369459000,375.726900,-558.885800,2.369459000,0.000000
132,133,133,134,0.771503547,True,374.724600,-557.909800,2.316618000,373.722300,-556.933700,2.223190000,1.399063
133,134,133,134,0.783602289,True,373.722300,-556.933700,2.223190000,373.722300,-556.933700,2.223190000,0.000000
134,135,134,135,0.776819083,True,372.720000,-555.957700,2.129412000,372.720000,-555.957700,2.129412000,0.000000
135,136,135,136,0.777478978,True,371.717700,-554.981600,2.036912000,371.717700,-554.981600,2.036912000,0.000000
136,137,136,137,0.778424047,True,371.045000,-553.644500,2.036912000,371.045000,-553.644500,2.036912000,0.000000
137,138,137,138,0.772853017,True,370.372300,-552.307400,2.036912000,370.372300,-552.307400,2.036912000,0.000000
138,139,138,139,0.768988033,True,369.699700,-550.970300,2.036912000,369.699700,-550.970300,2.036912000,0.000000
139,140,140,141,0.774649775,True,369.027000,-549.633200,2.036912000,368.354300,-548.296200,2.036912000,1.496694
140,141,140,141,0.785092069,True,368.354300,-548.296200,2.036912000,368.354300,-548.296200,2.036912000,0.000000
141,142,142,143,0.789027786,True,367.681600,-546.959100,2.036912000,367.009000,-545.622000,2.036912000,1.496739
142,143,142,143,0.807875622,True,367.009000,-545.622000,2.036912000,367.009000,-545.622000,2.036912000,0.000000
143,144,143,144,0.798870823,True,366.336300,-544.284900,2.073976000,366.336300,-544.284900,2.073976000,0.000000
144,145,145,146,0.780646920,True,365.663600,-542.947800,2.184828000,364.990900,-541.610700,2.296590000,1.496784
145,146,146,147,0.779530365,True,364.990900,-541.610700,2.296590000,364.318300,-540.273600,2.406516000,1.496739
146,147,146,147,0.769187369,True,364.318300,-540.273600,2.406516000,364.318300,-540.273600,2.406516000,0.000000
147,148,147,148,0.774245028,True,363.213500,-539.274800,2.406516000,363.213500,-539.274800,2.406516000,0.000000
148,149,148,149,0.780853409,True,362.108700,-538.276000,2.406516000,362.108700,-538.276000,2.406516000,0.000000
149,150,149,150,0.799759393,True,361.004000,-537.277200,2.406516000,361.004000,-537.277200,2.406516000,0.000000
150,151,150,151,0.759425195,True,359.899200,-536.278400,2.406516000,359.899200,-536.278400,2.406516000,0.000000
151,152,152,153,0.757164010,True,358.794500,-535.279500,2.406516000,357.689700,-534.280700,2.406516000,1.489357
152,153,152,153,0.728103741,True,357.689700,-534.280700,2.406516000,357.689700,-534.280700,2.406516000,0.000000
153,154,154,155,0.714947251,True,356.585000,-533.281900,2.406516000,355.480200,-532.283100,2.406516000,1.489357
154,155,155,156,0.709162152,True,355.480200,-532.283100,2.406516000,354.375500,-531.284300,2.447274000,1.489283
155,156,155,156,0.729343095,True,354.375500,-531.284300,2.447274000,354.375500,-531.284300,2.447274000,0.000000
156,157,157,158,0.748244895,True,353.270700,-530.285500,2.563726000,352.165900,-529.286700,2.681207000,1.489357
157,158,157,158,0.764495580,True,352.165900,-529.286700,2.681207000,352.165900,-529.286700,2.681207000,0.000000
158,159,158,159,0.776774522,True,351.061200,-528.287900,2.796535000,351.061200,-528.287900,2.796535000,0.000000
159,160,159,160,0.789189440,True,349.700500,-527.798800,2.796535000,349.700500,-527.798800,2.796535000,0.000000
160,161,160,161,0.795900759,True,348.339800,-527.309700,2.796535000,348.339800,-527.309700,2.796535000,0.000000
161,162,161,162,0.820357489,True,346.979200,-526.820600,2.796535000,346.979200,-526.820600,2.796535000,0.000000
162,163,162,163,0.804907210,True,345.618500,-526.331600,2.796535000,345.618500,-526.331600,2.796535000,0.000000
163,164,163,164,0.812009029,True,344.257800,-525.842500,2.796535000,344.257800,-525.842500,2.796535000,0.000000
164,165,165,166,0.797117484,True,342.897200,-525.353400,2.796535000,341.536500,-524.864300,2.796535000,1.445933
165,166,165,166,0.793005118,True,341.536500,-524.864300,2.796535000,341.536500,-524.864300,2.796535000,0.000000
166,167,166,167,0.804485624,True,340.175800,-524.375300,2.796535000,340.175800,-524.375300,2.796535000,0.000000
