ds,vmin,vmax,Rwindow,threshold,match_runtime_sec,rank_score,score_valid,score_corr,score_mae,valid_count,invalid_count,valid_ratio,mae,norm_mae,corr,nan_quality_count,core_frame_start,core_frame_end_exclusive,core_total_count,core_valid_count,core_valid_ratio,core_mae,core_norm_mae,core_corr
20,0.8,1.2,10,1.0,1.2203,0.8214132787847004,0.945054945054945,0.6727651806229099,0.8468832084054071,344,20,0.945054945054945,55.58139534883721,0.15311679159459288,0.6727651806229099,20,10,354,344,344,1.0,55.58139534883721,0.15311679159459288,0.6727651806229099
20,0.8,1.2,30,1.0,1.7262,0.8214132787847004,0.945054945054945,0.6727651806229099,0.8468832084054071,344,20,0.945054945054945,55.58139534883721,0.15311679159459288,0.6727651806229099,20,10,354,344,344,1.0,55.58139534883721,0.15311679159459288,0.6727651806229099
20,0.8,1.2,50,1.0,1.3884,0.8214132787847004,0.945054945054945,0.6727651806229099,0.8468832084054071,344,20,0.945054945054945,55.58139534883721,0.15311679159459288,0.6727651806229099,20,10,354,344,344,1.0,55.58139534883721,0.15311679159459288,0.6727651806229099
30,0.8,1.2,10,1.0,1.5115,0.816283261513848,0.9175824175824175,0.6870634316042422,0.8569720064004223,334,30,0.9175824175824175,51.91916167664671,0.1430279935995777,0.6870634316042422,30,15,349,334,334,1.0,51.91916167664671,0.1430279935995777,0.6870634316042422
30,0.8,1.2,30,1.0,1.2732,0.816283261513848,0.9175824175824175,0.6870634316042422,0.8569720064004223,334,30,0.9175824175824175,51.91916167664671,0.1430279935995777,0.6870634316042422,30,15,349,334,334,1.0,51.91916167664671,0.1430279935995777,0.6870634316042422
30,0.8,1.2,50,1.0,1.4484,0.816283261513848,0.9175824175824175,0.6870634316042422,0.8569720064004223,334,30,0.9175824175824175,51.91916167664671,0.1430279935995777,0.6870634316042422,30,15,349,334,334,1.0,51.91916167664671,0.1430279935995777,0.6870634316042422
20,0.5,1.5,10,1.0,1.8867,0.7984931459300216,0.945054945054945,0.6210565744135628,0.8319719392658081,344,20,0.945054945054945,60.99418604651163,0.16802806073419183,0.6210565744135628,20,10,354,344,344,1.0,60.99418604651163,0.16802806073419183,0.6210565744135628
20,0.5,1.5,30,1.0,1.7216,0.7984931459300216,0.945054945054945,0.6210565744135628,0.8319719392658081,344,20,0.945054945054945,60.99418604651163,0.16802806073419183,0.6210565744135628,20,10,354,344,344,1.0,60.99418604651163,0.16802806073419183,0.6210565744135628
20,0.5,1.5,50,1.0,1.6024,0.7984931459300216,0.945054945054945,0.6210565744135628,0.8319719392658081,344,20,0.945054945054945,60.99418604651163,0.16802806073419183,0.6210565744135628,20,10,354,344,344,1.0,60.99418604651163,0.16802806073419183,0.6210565744135628
50,0.8,1.2,10,1.0,2.0008,0.7928546371501736,0.8626373626373627,0.6830321434742271,0.8763664438244635,314,50,0.8626373626373627,44.87898089171974,0.12363355617553648,0.6830321434742271,50,25,339,314,314,1.0,44.87898089171974,0.12363355617553648,0.6830321434742271
50,0.8,1.2,30,1.0,1.9015,0.7928546371501736,0.8626373626373627,0.6830321434742271,0.8763664438244635,314,50,0.8626373626373627,44.87898089171974,0.12363355617553648,0.6830321434742271,50,25,339,314,314,1.0,44.87898089171974,0.12363355617553648,0.6830321434742271
50,0.8,1.2,50,1.0,1.8718,0.7928546371501736,0.8626373626373627,0.6830321434742271,0.8763664438244635,314,50,0.8626373626373627,44.87898089171974,0.12363355617553648,0.6830321434742271,50,25,339,314,314,1.0,44.87898089171974,0.12363355617553648,0.6830321434742271
30,0.5,1.5,10,1.0,1.7554,0.786145588774392,0.9175824175824175,0.6237447854610506,0.8249039111858927,334,30,0.9175824175824175,63.55988023952096,0.17509608881410732,0.6237447854610506,30,15,349,334,334,1.0,63.55988023952096,0.17509608881410732,0.6237447854610506
30,0.5,1.5,30,1.0,1.6043,0.786145588774392,0.9175824175824175,0.6237447854610506,0.8249039111858927,334,30,0.9175824175824175,63.55988023952096,0.17509608881410732,0.6237447854610506,30,15,349,334,334,1.0,63.55988023952096,0.17509608881410732,0.6237447854610506
30,0.5,1.5,50,1.0,1.6411,0.786145588774392,0.9175824175824175,0.6237447854610506,0.8249039111858927,334,30,0.9175824175824175,63.55988023952096,0.17509608881410732,0.6237447854610506,30,15,349,334,334,1.0,63.55988023952096,0.17509608881410732,0.6237447854610506
50,0.5,1.5,10,1.0,2.821,0.7579947067227208,0.8626373626373627,0.6091344098412431,0.8410275306627362,314,50,0.8626373626373627,57.70700636942675,0.15897246933726378,0.6091344098412431,50,25,339,314,314,1.0,57.70700636942675,0.15897246933726378,0.6091344098412431
50,0.5,1.5,30,1.0,2.9458,0.7579947067227208,0.8626373626373627,0.6091344098412431,0.8410275306627362,314,50,0.8626373626373627,57.70700636942675,0.15897246933726378,0.6091344098412431,50,25,339,314,314,1.0,57.70700636942675,0.15897246933726378,0.6091344098412431
50,0.5,1.5,50,1.0,2.76,0.7579947067227208,0.8626373626373627,0.6091344098412431,0.8410275306627362,314,50,0.8626373626373627,57.70700636942675,0.15897246933726378,0.6091344098412431,50,25,339,314,314,1.0,57.70700636942675,0.15897246933726378,0.6091344098412431
10,0.8,1.2,10,1.0,1.1755,0.7477788789491044,0.9725274725274725,0.47369797997485336,0.8044154954786696,354,10,0.9725274725274725,70.99717514124293,0.1955845045213304,0.47369797997485336,10,5,359,354,354,1.0,70.99717514124293,0.1955845045213304,0.47369797997485336
