query_array_index,query_frame_id,matched_ref_index,matched_ref_frame_id,quality,valid,gt_x,gt_y,gt_yaw_rad,est_x,est_y,est_yaw_rad,xy_error
0,1,-1,-1,nan,False,-105.000000,4.500000,-1.570796000,,,,
1,2,-1,-1,nan,False,-105.000000,2.528600,-1.570796000,,,,
2,3,-1,-1,nan,False,-105.000000,0.557100,-1.570796000,,,,
3,4,-1,-1,nan,False,-105.000000,-1.414300,-1.570796000,,,,
4,5,-1,-1,nan,False,-105.000000,-3.385700,-1.570796000,,,,
5,6,-1,-1,nan,False,-105.000000,-5.357100,-1.570796000,,,,
6,7,-1,-1,nan,False,-105.000000,-7.328600,-1.570796000,,,,
7,8,-1,-1,nan,False,-105.000000,-9.300000,-1.570796000,,,,
8,9,-1,-1,nan,False,-105.000000,-11.271400,-1.570796000,,,,
9,10,-1,-1,nan,False,-105.000000,-13.242900,-1.570796000,,,,
10,11,10,11,0.870641533,True,-105.000000,-15.214300,-1.570796000,-105.000000,-15.214300,-1.570796000,0.000000
11,12,11,12,0.865979358,True,-105.000000,-17.185700,-1.570796000,-105.000000,-17.185700,-1.570796000,0.000000
12,13,12,13,0.867777118,True,-105.000000,-19.157100,-1.570796000,-105.000000,-19.157100,-1.570796000,0.000000
13,14,13,14,0.911187915,True,-105.000000,-21.128600,-1.570796000,-105.000000,-21.128600,-1.570796000,0.000000
14,15,14,15,0.897241586,True,-105.000000,-23.100000,-1.570796000,-105.000000,-23.100000,-1.570796000,0.000000
15,16,15,16,0.903285179,True,-105.000000,-25.071400,-1.570796000,-105.000000,-25.071400,-1.570796000,0.000000
16,17,16,17,0.884614312,True,-105.000000,-27.042900,-1.570796000,-105.000000,-27.042900,-1.570796000,0.000000
17,18,17,18,0.896339136,True,-105.000000,-29.014300,-1.570796000,-105.000000,-29.014300,-1.570796000,0.000000
18,19,19,20,0.866596587,True,-105.000000,-30.985700,-1.570796000,-105.000000,-32.957100,-1.570796000,1.971400
19,20,19,20,0.895988386,True,-105.000000,-32.957100,-1.570796000,-105.000000,-32.957100,-1.570796000,0.000000
20,21,21,22,0.927969796,True,-105.000000,-34.928600,-1.570796000,-105.000000,-36.900000,-1.570796000,1.971400
21,22,21,22,0.826263307,True,-105.000000,-36.900000,-1.570796000,-105.000000,-36.900000,-1.570796000,0.000000
22,23,22,23,0.905497703,True,-105.000000,-38.871400,-1.570796000,-105.000000,-38.871400,-1.570796000,0.000000
23,24,24,25,0.895800030,True,-105.000000,-40.842900,-1.570796000,-105.000000,-42.814300,-1.570796000,1.971400
24,25,25,26,0.809041688,True,-105.000000,-42.814300,-1.570796000,-105.000000,-44.785700,-1.570796000,1.971400
25,26,25,26,0.825544407,True,-105.000000,-44.785700,-1.570796000,-105.000000,-44.785700,-1.570796000,0.000000
26,27,27,28,0.812229258,True,-105.000000,-46.757100,-1.570796000,-105.000000,-48.728600,-1.570796000,1.971500
27,28,27,28,0.778909710,True,-105.000000,-48.728600,-1.570796000,-105.000000,-48.728600,-1.570796000,0.000000
28,29,28,29,0.818072837,True,-105.000000,-50.700000,-1.570796000,-105.000000,-50.700000,-1.570796000,0.000000
29,30,29,30,0.833699735,True,-105.000000,-52.671400,-1.570796000,-105.000000,-52.671400,-1.570796000,0.000000
30,31,31,32,0.845875943,True,-105.000000,-54.642900,-1.570796000,-105.000000,-56.614300,-1.570796000,1.971400
31,32,31,32,0.803932654,True,-105.000000,-56.614300,-1.570796000,-105.000000,-56.614300,-1.570796000,0.000000
32,33,32,33,0.772461005,True,-105.000000,-58.585700,-1.570796000,-105.000000,-58.585700,-1.570796000,0.000000
33,34,33,34,0.761301631,True,-105.000000,-60.557100,-1.570796000,-105.000000,-60.557100,-1.570796000,0.000000
34,35,34,35,0.806379708,True,-105.000000,-62.528600,-1.570796000,-105.000000,-62.528600,-1.570796000,0.000000
35,36,35,36,0.810141733,True,-105.000000,-64.500000,-1.546253000,-105.000000,-64.500000,-1.546253000,0.000000
36,37,37,38,0.837742388,True,-104.951200,-66.487200,-1.497165000,-104.805000,-68.469700,-1.448078000,1.987883
37,38,37,38,0.886170714,True,-104.805000,-68.469700,-1.448078000,-104.805000,-68.469700,-1.448078000,0.000000
38,39,38,39,0.956587961,True,-104.561600,-70.442600,-1.398990000,-104.561600,-70.442600,-1.398990000,0.000000
39,40,40,41,0.944383287,True,-104.221800,-72.401200,-1.349903000,-103.786300,-74.340700,-1.300816000,1.987793
40,41,41,42,0.928966152,True,-103.786300,-74.340700,-1.300816000,-103.256100,-76.256500,-1.251728000,1.987813
41,42,42,43,0.979565821,True,-103.256100,-76.256500,-1.251728000,-102.632500,-78.144000,-1.202641000,1.987846
42,43,43,44,0.934950150,True,-102.632500,-78.144000,-1.202641000,-101.917100,-79.998700,-1.153554000,1.987891
43,44,53,54,0.973354146,True,-101.917100,-79.998700,-1.153554000,-90.192900,-95.806900,-0.662680000,19.681363
44,45,53,54,0.940209758,True,-101.111600,-81.816000,-1.104466000,-90.192900,-95.806900,-0.662680000,17.747205
45,46,54,55,0.941875527,True,-100.217800,-83.591600,-1.055379000,-88.625800,-97.029900,-0.613592000,17.747179
46,47,55,56,0.944095319,True,-99.238000,-85.321200,-1.006291000,-87.000600,-98.174500,-0.564505000,17.747148
47,48,37,38,0.968357435,True,-98.174500,-87.000600,-0.957204000,-104.805000,-68.469700,-1.448078000,19.681407
48,49,57,58,0.999650213,True,-97.029900,-88.625800,-0.908117000,-83.591600,-100.217800,-0.466330000,17.747179
49,50,309,310,0.999997300,True,-95.806900,-90.192900,-0.859029000,-42.632500,78.144000,-1.889864000,176.535630
50,51,275,276,0.996165756,True,-94.508500,-91.698100,-0.809942000,13.242900,105.000000,3.141593000,224.277745
51,52,100,101,0.920744103,True,-93.137800,-93.137800,-0.760854000,0.557100,-105.000000,0.000000000,94.442819
52,53,99,100,0.959021396,True,-91.698100,-94.508500,-0.711767000,-1.414300,-105.000000,0.000000000,90.891342
53,54,41,42,0.964509931,True,-90.192900,-95.806900,-0.662680000,-103.256100,-76.256500,-1.251728000,23.513089
54,55,43,44,0.971593245,True,-88.625800,-97.029900,-0.613592000,-101.917100,-79.998700,-1.153554000,21.603713
55,56,352,353,0.962859678,True,-87.000600,-98.174500,-0.564505000,-98.174500,27.000600,-2.135301000,125.672836
56,57,352,353,0.990908811,True,-85.321200,-99.238000,-0.515418000,-98.174500,27.000600,-2.135301000,126.891258
57,58,93,94,0.982628542,True,-83.591600,-100.217800,-0.466330000,-13.242900,-105.000000,0.000000000,70.511056
58,59,355,356,0.985984766,True,-81.816000,-101.111600,-0.417243000,-101.111600,21.816000,-1.988039000,124.432773
59,60,104,105,0.999437030,True,-79.998700,-101.917100,-0.368155000,8.469700,-104.805000,0.122718000,88.515523
60,61,106,107,0.988884219,True,-78.144000,-102.632500,-0.319068000,12.401200,-104.221800,0.220893000,90.559147
61,62,34,35,0.998162575,True,-76.256500,-103.256100,-0.269981000,-105.000000,-62.528600,-1.570796000,49.848952
62,63,156,157,0.978545269,True,-74.340700,-103.786300,-0.220893000,76.256500,-43.256100,0.319068000,162.306567
63,64,157,158,0.953632045,True,-72.401200,-104.221800,-0.171806000,78.144000,-42.632500,0.368155000,162.656384
64,65,159,160,0.987594117,True,-70.442600,-104.561600,-0.122718000,81.816000,-41.111600,0.466330000,164.950246
65,66,275,276,0.966781158,True,-68.469700,-104.805000,-0.073631000,13.242900,105.000000,3.141593000,225.155695
66,67,315,316,0.979979341,True,-66.487200,-104.951200,-0.024544000,-44.951200,66.487200,-1.595340000,172.785776
67,68,316,317,0.995940655,True,-64.500000,-105.000000,0.000000000,-45.000000,64.500000,-1.619884000,170.617994
68,69,69,70,0.941328585,True,-62.528600,-105.000000,0.000000000,-60.557100,-105.000000,0.000000000,1.971500
