query_array_index,query_frame_id,matched_ref_index,matched_ref_frame_id,quality,valid,gt_x,gt_y,gt_yaw_rad,est_x,est_y,est_yaw_rad,xy_error
0,1,-1,-1,nan,False,499.050000,-588.482800,-2.245104000,,,,
1,2,-1,-1,nan,False,498.143000,-589.617400,-2.245104000,,,,
2,3,-1,-1,nan,False,497.236100,-590.752100,-2.245104000,,,,
3,4,-1,-1,nan,False,496.329200,-591.886700,-2.245104000,,,,
4,5,-1,-1,nan,False,495.422300,-593.021400,-2.245104000,,,,
5,6,-1,-1,nan,False,494.515400,-594.156000,-2.245104000,,,,
6,7,-1,-1,nan,False,493.608500,-595.290700,-2.312361000,,,,
7,8,-1,-1,nan,False,492.701600,-596.425300,-2.470564000,,,,
8,9,-1,-1,nan,False,491.794700,-597.560000,-2.631028000,,,,
9,10,-1,-1,nan,False,490.887800,-598.694600,-2.785773000,,,,
10,11,-1,-1,nan,False,489.539800,-599.195600,-2.785773000,,,,
11,12,-1,-1,nan,False,488.191800,-599.696500,-2.785773000,,,,
12,13,-1,-1,nan,False,486.843800,-600.197500,-2.785773000,,,,
13,14,-1,-1,nan,False,485.495800,-600.698400,-2.785773000,,,,
14,15,-1,-1,nan,False,484.147800,-601.199400,-2.785773000,,,,
15,16,-1,-1,nan,False,482.799900,-601.700400,-2.785773000,,,,
16,17,-1,-1,nan,False,481.451900,-602.201300,-2.785773000,,,,
17,18,-1,-1,nan,False,480.103900,-602.702300,-2.785773000,,,,
18,19,-1,-1,nan,False,478.755900,-603.203300,-2.785773000,,,,
19,20,-1,-1,nan,False,477.407900,-603.704200,-2.770426000,,,,
20,21,-1,-1,nan,False,476.059900,-604.205200,-2.738189000,,,,
21,22,-1,-1,nan,False,474.711900,-604.706100,-2.705935000,,,,
22,23,-1,-1,nan,False,473.363900,-605.207100,-2.673730000,,,,
23,24,-1,-1,nan,False,472.107200,-605.842100,-2.673730000,,,,
24,25,-1,-1,nan,False,470.850400,-606.477200,-2.673730000,,,,
25,26,402,403,0.999328190,True,469.593600,-607.112200,-2.673730000,274.495300,-317.075300,3.028709000,349.549353
26,27,152,153,0.989457967,True,468.336800,-607.747200,-2.673730000,357.689700,-534.280700,2.406516000,132.816066
27,28,1078,1079,0.992595728,True,467.080000,-608.382200,-2.675408000,524.623000,-629.177600,1.953292000,61.185337
28,29,57,58,0.998308026,True,465.823300,-609.017300,-2.678456000,432.856900,-631.779600,-2.763816000,40.061276
29,30,720,721,0.987927869,True,464.566500,-609.652300,-2.681503000,118.327700,-604.304300,-0.918441000,346.280100
30,31,278,279,0.998252325,True,463.309700,-610.287300,-2.684551000,336.982600,-387.602600,1.036594000,256.021507
31,32,279,280,0.985069137,True,462.053400,-610.905100,-2.684551000,337.731300,-386.337000,1.036594000,256.684273
32,33,31,32,0.990537571,True,460.797200,-611.522900,-2.684551000,462.053400,-610.905100,-2.684551000,1.399898
33,34,61,62,0.993955761,True,459.540900,-612.140700,-2.684551000,427.359000,-633.444800,2.980449000,38.594551
34,35,33,34,0.967816833,True,458.284700,-612.758500,-2.684551000,459.540900,-612.140700,-2.684551000,1.399898
35,36,34,35,0.949492866,True,457.028400,-613.376300,-2.684551000,458.284700,-612.758500,-2.684551000,1.399988
36,37,35,36,0.953732415,True,455.772100,-613.994100,-2.684551000,457.028400,-613.376300,-2.684551000,1.399988
37,38,256,257,0.999146764,True,454.515900,-614.611900,-2.684551000,324.654800,-417.810000,1.237245000,235.785693
38,39,65,66,0.990578296,True,453.259600,-615.229600,-2.684551000,421.685300,-632.522500,2.980449000,35.999733
39,40,257,258,0.991797517,True,452.003400,-615.847400,-2.614261000,325.144500,-416.396600,1.237245000,236.376399
40,41,257,258,0.985602378,True,450.747100,-616.465200,-2.487948000,325.144500,-416.396600,1.237245000,236.227555
41,42,259,260,0.972601750,True,449.490800,-617.083000,-2.360761000,326.124000,-413.569900,1.237245000,237.985187
42,43,259,260,0.994587039,True,448.234600,-617.700800,-2.236720000,326.124000,-413.569900,1.237245000,237.866397
43,44,259,260,0.999158017,True,447.376700,-618.792700,-2.236720000,326.124000,-413.569900,1.237245000,238.366556
44,45,260,261,0.980837688,True,446.518900,-619.884600,-2.236720000,326.613700,-412.156500,1.237245000,239.850413
45,46,275,276,0.992399307,True,445.661000,-620.976500,-2.236720000,334.736500,-391.399400,1.036594000,254.970370
46,47,263,264,0.989473183,True,444.803200,-622.068500,-2.236720000,328.082900,-407.916400,1.237245000,243.894958
47,48,48,49,0.998797327,True,443.945300,-623.160400,-2.236720000,443.087500,-624.252300,-2.236720000,1.388548
48,49,264,265,0.999502714,True,443.087500,-624.252300,-2.236720000,328.572600,-406.503100,1.237245000,246.025154
49,50,50,51,0.978681726,True,442.229600,-625.344200,-2.313501000,441.371800,-626.436100,-2.445115000,1.388548
50,51,51,52,0.942083617,True,441.371800,-626.436100,-2.445115000,440.513900,-627.528000,-2.577650000,1.388610
51,52,51,52,0.936844809,True,440.513900,-627.528000,-2.577650000,440.513900,-627.528000,-2.577650000,0.000000
52,53,52,53,0.895257281,True,439.656100,-628.619900,-2.706569000,439.656100,-628.619900,-2.706569000,0.000000
53,54,53,54,0.858697104,True,438.296300,-629.251800,-2.706569000,438.296300,-629.251800,-2.706569000,0.000000
54,55,54,55,0.843007684,True,436.936400,-629.883800,-2.706569000,436.936400,-629.883800,-2.706569000,0.000000
55,56,56,57,0.817311978,True,435.576600,-630.515700,-2.706569000,434.216800,-631.147600,-2.706569000,1.499451
56,57,57,58,0.794434626,True,434.216800,-631.147600,-2.706569000,432.856900,-631.779600,-2.763816000,1.499584
57,58,57,58,0.822432584,True,432.856900,-631.779600,-2.763816000,432.856900,-631.779600,-2.763816000,0.000000
58,59,58,59,0.810405341,True,431.497100,-632.411500,-2.943406000,431.497100,-632.411500,-2.943406000,0.000000
59,60,59,60,0.782295754,True,430.137300,-633.043400,-3.126996000,430.137300,-633.043400,-3.126996000,0.000000
60,61,60,61,0.751120751,True,428.777400,-633.675400,2.980449000,428.777400,-633.675400,2.980449000,0.000000
61,62,61,62,0.773461184,True,427.359000,-633.444800,2.980449000,427.359000,-633.444800,2.980449000,0.000000
62,63,62,63,0.761169667,True,425.940600,-633.214200,2.980449000,425.940600,-633.214200,2.980449000,0.000000
63,64,64,65,0.741239585,True,424.522200,-632.983700,2.980449000,423.103700,-632.753100,2.980449000,1.437122
64,65,65,66,0.722412707,True,423.103700,-632.753100,2.980449000,421.685300,-632.522500,2.980449000,1.437023
65,66,65,66,0.722792681,True,421.685300,-632.522500,2.980449000,421.685300,-632.522500,2.980449000,0.000000
66,67,67,68,0.701405158,True,420.266900,-632.292000,2.980449000,418.848500,-632.061400,2.980449000,1.437023
67,68,67,68,0.694015794,True,418.848500,-632.061400,2.980449000,418.848500,-632.061400,2.980449000,0.000000
68,69,69,70,0.678708262,True,417.430100,-631.830800,2.901273000,416.011600,-631.600300,2.727963000,1.437106
69,70,70,71,0.668091625,True,416.011600,-631.600300,2.727963000,414.593200,-631.369700,2.551872000,1.437023
70,71,70,71,0.666286422,True,414.593200,-631.369700,2.551872000,414.593200,-631.369700,2.551872000,0.000000
71,72,72,73,0.669770315,True,413.174800,-631.139100,2.383463000,412.143100,-630.162200,2.383463000,1.420823
72,73,72,73,0.688776334,True,412.143100,-630.162200,2.383463000,412.143100,-630.162200,2.383463000,0.000000
73,74,73,74,0.691023539,True,411.111300,-629.185200,2.383463000,411.111300,-629.185200,2.383463000,0.000000
74,75,74,75,0.667365298,True,410.079600,-628.208300,2.383463000,410.079600,-628.208300,2.383463000,0.000000
75,76,75,76,0.667151773,True,409.047900,-627.231300,2.293741000,409.047900,-627.231300,2.293741000,0.000000
76,77,76,77,0.665336396,True,408.016100,-626.254400,2.111198000,408.016100,-626.254400,2.111198000,0.000000
77,78,77,78,0.658853585,True,406.984400,-625.277500,1.925649000,406.984400,-625.277500,1.925649000,0.000000
78,79,78,79,0.642646501,True,405.952700,-624.300500,1.749272000,405.952700,-624.300500,1.749272000,0.000000
79,80,80,81,0.616411553,True,405.704900,-622.927200,1.749272000,405.457200,-621.553900,1.749272000,1.395460
80,81,80,81,0.616141527,True,405.457200,-621.553900,1.749272000,405.457200,-621.553900,1.749272000,0.000000
81,82,82,83,0.628026973,True,405.209500,-620.180600,1.749272000,404.961700,-618.807300,1.749272000,1.395478
82,83,83,84,0.592614480,True,404.961700,-618.807300,1.749272000,404.714000,-617.433900,1.749272000,1.395558
83,84,83,84,0.593900735,True,404.714000,-617.433900,1.749272000,404.714000,-617.433900,1.749272000,0.000000
84,85,84,85,0.599551009,True,404.466200,-616.060600,1.749272000,404.466200,-616.060600,1.749272000,0.000000
85,86,85,86,0.584244360,True,404.218500,-614.687300,1.726706000,404.218500,-614.687300,1.726706000,0.000000
86,87,87,88,0.590323456,True,403.970800,-613.314000,1.687900000,403.723000,-611.940700,1.649070000,1.395478
87,88,87,88,0.575310424,True,403.723000,-611.940700,1.649070000,403.723000,-611.940700,1.649070000,0.000000
88,89,88,89,0.578923751,True,403.475300,-610.567400,1.610332000,403.475300,-610.567400,1.610332000,0.000000
89,90,89,90,0.569743640,True,403.416500,-609.082400,1.610332000,403.416500,-609.082400,1.610332000,0.000000
90,91,91,92,0.569121273,True,403.357800,-607.597500,1.610332000,403.299100,-606.112500,1.610332000,1.486160
91,92,91,92,0.563305433,True,403.299100,-606.112500,1.610332000,403.299100,-606.112500,1.610332000,0.000000
92,93,92,93,0.567992678,True,403.240300,-604.627600,1.610332000,403.240300,-604.627600,1.610332000,0.000000
93,94,93,94,0.562129392,True,403.181600,-603.142700,1.610332000,403.181600,-603.142700,1.610332000,0.000000
94,95,94,95,0.568548492,True,403.122900,-601.657700,1.610332000,403.122900,-601.657700,1.610332000,0.000000
95,96,95,96,0.563842476,True,403.064100,-600.172800,1.610332000,403.064100,-600.172800,1.610332000,0.000000
96,97,96,97,0.570383902,True,403.005400,-598.687900,1.610332000,403.005400,-598.687900,1.610332000,0.000000
97,98,97,98,0.574583461,True,402.946600,-597.202900,1.656553000,402.946600,-597.202900,1.656553000,0.000000
98,99,98,99,0.568390193,True,402.887900,-595.718000,1.786641000,402.887900,-595.718000,1.786641000,0.000000
99,100,99,100,0.564264030,True,402.829200,-594.233000,1.918154000,402.829200,-594.233000,1.918154000,0.000000
100,101,100,101,0.581814295,True,402.770400,-592.748100,2.046645000,402.770400,-592.748100,2.046645000,0.000000
101,102,101,102,0.593642085,True,402.120500,-591.486900,2.046645000,402.120500,-591.486900,2.046645000,0.000000
102,103,102,103,0.604708212,True,401.470600,-590.225800,2.046645000,401.470600,-590.225800,2.046645000,0.000000
103,104,103,104,0.617543656,True,400.820600,-588.964600,2.046645000,400.820600,-588.964600,2.046645000,0.000000
104,105,104,105,0.619926471,True,400.170700,-587.703400,2.046645000,400.170700,-587.703400,2.046645000,0.000000
105,106,105,106,0.633033471,True,399.520700,-586.442300,2.046645000,399.520700,-586.442300,2.046645000,0.000000
106,107,106,107,0.631243135,True,398.870800,-585.181100,2.082659000,398.870800,-585.181100,2.082659000,0.000000
107,108,107,108,0.636077313,True,398.220900,-583.919900,2.151916000,398.220900,-583.919900,2.151916000,0.000000
108,109,108,109,0.633716432,True,397.570900,-582.658800,2.221330000,397.570900,-582.658800,2.221330000,0.000000
109,110,109,110,0.641570093,True,396.921000,-581.397600,2.290240000,396.921000,-581.397600,2.290240000,0.000000
110,111,110,111,0.631110528,True,395.990100,-580.335000,2.290240000,395.990100,-580.335000,2.290240000,0.000000
111,112,111,112,0.646373327,True,395.059100,-579.272400,2.290240000,395.059100,-579.272400,2.290240000,0.000000
112,113,112,113,0.651120090,True,394.128200,-578.209800,2.290240000,394.128200,-578.209800,2.290240000,0.000000
113,114,113,114,0.678539005,True,393.197200,-577.147200,2.290240000,393.197200,-577.147200,2.290240000,0.000000
114,115,114,115,0.682288499,True,392.266300,-576.084500,2.290240000,392.266300,-576.084500,2.290240000,0.000000
115,116,115,116,0.691598409,True,391.335400,-575.021900,2.290240000,391.335400,-575.021900,2.290240000,0.000000
116,117,116,117,0.724302592,True,390.404400,-573.959300,2.290240000,390.404400,-573.959300,2.290240000,0.000000
117,118,117,118,0.717456766,True,389.473500,-572.896700,2.290240000,389.473500,-572.896700,2.290240000,0.000000
118,119,118,119,0.728206352,True,388.542600,-571.834100,2.302303000,388.542600,-571.834100,2.302303000,0.000000
119,120,119,120,0.735311012,True,387.611600,-570.771500,2.324690000,387.611600,-570.771500,2.324690000,0.000000
120,121,120,121,0.746605292,True,386.680700,-569.708900,2.347083000,386.680700,-569.708900,2.347083000,0.000000
121,122,121,122,0.751522297,True,385.749800,-568.646300,2.369459000,385.749800,-568.646300,2.369459000,0.000000
122,123,122,123,0.751824492,True,384.747500,-567.670200,2.369459000,384.747500,-567.670200,2.369459000,0.000000
123,124,123,124,0.765827933,True,383.745200,-566.694200,2.369459000,383.745200,-566.694200,2.369459000,0.000000
124,125,124,125,0.760919730,True,382.742900,-565.718100,2.369459000,382.742900,-565.718100,2.369459000,0.000000
125,126,126,127,0.739125418,True,381.740600,-564.742100,2.369459000,380.738300,-563.766000,2.369459000,1.399063
126,127,126,127,0.763487039,True,380.738300,-563.766000,2.369459000,380.738300,-563.766000,2.369459000,0.000000
127,128,128,129,0.758823753,True,379.736000,-562.790000,2.369459000,378.733700,-561.813900,2.369459000,1.399063
128,129,128,129,0.782817115,True,378.733700,-561.813900,2.369459000,378.733700,-561.813900,2.369459000,0.000000
129,130,129,130,0.781211860,True,377.731400,-560.837900,2.369459000,377.731400,-560.837900,2.369459000,0.000000
130,131,131,132,0.737377710,True,376.729100,-559.861800,2.369459000,375.726900,-558.885800,2.369459000,1.398921
131,132,132,133,0.739489839,True,375.726900,-558.885800,2.369459000,374.724600,-557.909800,2.316618000,1.398993
132,133,132,133,0.762492182,True,374.724600,-557.909800,2.316618000,374.724600,-557.909800,2.316618000,0.000000
133,134,133,134,0.763435484,True,373.722300,-556.933700,2.223190000,373.722300,-556.933700,2.223190000,0.000000
134,135,134,135,0.789528740,True,372.720000,-555.957700,2.129412000,372.720000,-555.957700,2.129412000,0.000000
135,136,136,137,0.769876608,True,371.717700,-554.981600,2.036912000,371.045000,-553.644500,2.036912000,1.496784
136,137,136,137,0.781746942,True,371.045000,-553.644500,2.036912000,371.045000,-553.644500,2.036912000,0.000000
137,138,137,138,0.799192361,True,370.372300,-552.307400,2.036912000,370.372300,-552.307400,2.036912000,0.000000
138,139,140,141,0.784891223,True,369.699700,-550.970300,2.036912000,368.354300,-548.296200,2.036912000,2.993478
139,140,141,142,0.793320246,True,369.027000,-549.633200,2.036912000,367.681600,-546.959100,2.036912000,2.993478
140,141,142,143,0.781393854,True,368.354300,-548.296200,2.036912000,367.009000,-545.622000,2.036912000,2.993523
141,142,142,143,0.800994391,True,367.681600,-546.959100,2.036912000,367.009000,-545.622000,2.036912000,1.496739
142,143,143,144,0.817062739,True,367.009000,-545.622000,2.036912000,366.336300,-544.284900,2.073976000,1.496784
143,144,144,145,0.829225923,True,366.336300,-544.284900,2.073976000,365.663600,-542.947800,2.184828000,1.496784
144,145,145,146,0.828942453,True,365.663600,-542.947800,2.184828000,364.990900,-541.610700,2.296590000,1.496784
145,146,146,147,0.830164241,True,364.990900,-541.610700,2.296590000,364.318300,-540.273600,2.406516000,1.496739
146,147,147,148,0.842814428,True,364.318300,-540.273600,2.406516000,363.213500,-539.274800,2.406516000,1.489357
147,148,148,149,0.854842327,True,363.213500,-539.274800,2.406516000,362.108700,-538.276000,2.406516000,1.489357
148,149,149,150,0.848579818,True,362.108700,-538.276000,2.406516000,361.004000,-537.277200,2.406516000,1.489283
149,150,150,151,0.850462691,True,361.004000,-537.277200,2.406516000,359.899200,-536.278400,2.406516000,1.489357
150,151,151,152,0.862332125,True,359.899200,-536.278400,2.406516000,358.794500,-535.279500,2.406516000,1.489350
151,152,152,153,0.854146545,True,358.794500,-535.279500,2.406516000,357.689700,-534.280700,2.406516000,1.489357
152,153,153,154,0.847182537,True,357.689700,-534.280700,2.406516000,356.585000,-533.281900,2.406516000,1.489283
153,154,154,155,0.835046972,True,356.585000,-533.281900,2.406516000,355.480200,-532.283100,2.406516000,1.489357
154,155,155,156,0.844039824,True,355.480200,-532.283100,2.406516000,354.375500,-531.284300,2.447274000,1.489283
155,156,156,157,0.875312640,True,354.375500,-531.284300,2.447274000,353.270700,-530.285500,2.563726000,1.489357
156,157,157,158,0.902905791,True,353.270700,-530.285500,2.563726000,352.165900,-529.286700,2.681207000,1.489357
157,158,158,159,0.960638361,True,352.165900,-529.286700,2.681207000,351.061200,-528.287900,2.796535000,1.489283
158,159,158,159,0.948824607,True,351.061200,-528.287900,2.796535000,351.061200,-528.287900,2.796535000,0.000000
159,160,159,160,0.988205360,True,349.700500,-527.798800,2.796535000,349.700500,-527.798800,2.796535000,0.000000
160,161,160,161,0.983077711,True,348.339800,-527.309700,2.796535000,348.339800,-527.309700,2.796535000,0.000000
161,162,161,162,0.976682194,True,346.979200,-526.820600,2.796535000,346.979200,-526.820600,2.796535000,0.000000
162,163,162,163,0.957604792,True,345.618500,-526.331600,2.796535000,345.618500,-526.331600,2.796535000,0.000000
163,164,163,164,0.988500127,True,344.257800,-525.842500,2.796535000,344.257800,-525.842500,2.796535000,0.000000
164,165,163,164,0.952926356,True,342.897200,-525.353400,2.796535000,344.257800,-525.842500,2.796535000,1.445839
165,166,164,165,0.911419281,True,341.536500,-524.864300,2.796535000,342.897200,-525.353400,2.796535000,1.445933
166,167,168,169,0.893116919,True,340.175800,-524.375300,2.796535000,337.454500,-523.397100,2.663859000,2.891773
